lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,reference_OFAT,1.307783099999142,2.7609948227554706,2.417054269302172,1.1422974063187243,1.9848909086398616,-0.17593639754694945,0.25771155333415835,1.2742916666666666,5.1466666666666665,0.00025201612903225806,0.038799963273550835,0.00025201612903225806,0.3566666666666667,34.99999999999999,259.99999999999994,-119.04717959864371,11.334100995800771,0.0,1.0,0.418625,0.3566666666666667,0.22470833333333334,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.3566666666666667,0.418625,0.22470833333333334
0.002,12,31,45,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,5,combined_mid,6.10391940000045,2.3663088487799104,1.9872282594339168,1.1907584534118787,1.712635500913471,-0.19541947930465953,0.2889733125920463,1.4275625,6.873,0.0008400537634408602,0.03239510858106683,0.0008400537634408602,0.42725,34.99999999999999,259.99999999999994,-119.04717959864371,11.334100995800771,0.0,1.0,0.3576388888888889,0.42725,0.21511111111111111,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.0,0.42725,0.3576388888888889,0.21511111111111111
0.002,16,31,61,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,7,time_cash_fine,16.44366070000069,2.01389768192206,1.739284195257645,1.1578887955247221,1.4202886881482297,-0.20146882074263028,0.31708015102383585,1.5678125,8.497333333333334,0.0007560483870967742,0.02755117118238094,0.0007560483870967742,0.46891666666666665,34.99999999999999,259.99999999999994,-119.04717959864371,11.334100995800771,0.0,1.0,0.3191875,0.46891666666666665,0.21189583333333334,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.46891666666666665,0.3191875,0.21189583333333334
0.002,16,45,61,25,65,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,7,all_dimensions_fine,79.77611199999956,2.0668765063426093,1.739284195257645,1.1883489265171165,1.455469946712671,-0.16299259832452823,0.3227765200674623,1.5999583333333334,6.750666666666667,0.0006944444444444445,0.01495719489981785,0.0006944444444444445,0.5780833333333333,34.99999999999999,259.99999999999994,-119.04717959864371,11.334100995800771,0.0,1.0,0.248875,0.5780833333333333,0.17304166666666668,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.5780833333333333,0.248875,0.17304166666666668
