lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,4,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_steps_4,1.7036573000004864,10.306898007149442,3.327612185285647,3.0973855825884598,7.343743858650425,-2.0945815362344167,0.18487584178777605,0.84878125,3.503,0.0,0.02128603782824264,0.0,0.12425,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.586,0.12425,0.28975,0.0,0.0025,0.0,0.0,0.00125,0.0,0.011375,0.12425,0.586,0.28975,n_steps,4
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_steps_8,3.598027500000171,11.72453665529144,2.4014753520002725,4.882222357820855,8.838666465142328,-2.7976480038160227,0.39252918398486325,1.807,6.8865,0.0,0.015792373140723508,0.0,0.1391875,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.5081875,0.1391875,0.352625,0.0,0.0183125,0.0,0.0028125,0.00915625,0.0,0.01075,0.1391875,0.5081875,0.352625,n_steps,8
0.002,12,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_steps_12,5.338842099999965,13.694590587930486,1.9790463207292064,6.919792854006838,9.775782244660027,-3.405658986762147,0.3980204938580314,1.7983125,10.111,0.0,0.014124380241170352,0.0,0.15741666666666668,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.521375,0.15741666666666668,0.3212083333333333,0.0,0.016291666666666666,0.0,0.004625,0.008145833333333333,0.0,0.013541666666666667,0.15741666666666668,0.521375,0.3212083333333333,n_steps,12
