sweep,rmse_min,rmse_max,rmse_range,hold_width_min,hold_width_max,hold_width_range,hold_fraction_min,hold_fraction_max,max_cash_outside_grid,max_s_outside_grid
Nq,4.117405013097279,4.926050006317483,0.808644993220204,0.0,0.00744047619047619,0.00744047619047619,0.08010923987255349,0.19114312391623317,0.0,0.0
Ns,4.436399721140362,7.594847324065018,3.1584476029246558,0.006535947712418302,0.11152570480928692,0.10498975709686861,0.20959922430510666,0.33770706905035264,0.0,0.0
cash,4.440880196532583,5.174720750030008,0.7338405534974246,0.001984126984126985,0.12003968253968254,0.11805555555555555,0.15015360983102918,0.29571710340941115,0.0,0.0
time,4.455854604116894,6.142466349481501,1.6866117453646075,0.061079545454545456,0.11431623931623931,0.05323669386169386,0.2077134986225895,0.2696719210560041,0.0,0.0
interpolation,3.197886999742362,5.538168030881432,2.3402810311390705,0.0,0.05505952380952381,0.05505952380952381,0.09173669467787114,0.26875194522253343,0.0,0.0
