lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,8,31,31,9,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_q_9,0.47010690000024624,2.944567830851958,2.4014753520002725,1.226149511965353,2.1724646360295288,-0.08818401284693989,0.24613226312096373,1.2179375,3.8285,0.0030241935483870967,0.056451612903225805,0.0030241935483870967,0.5214375,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.3139375,0.5214375,0.164625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5214375,0.3139375,0.164625,n_q,9
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_q_17,1.461822299999767,2.8878252053372595,2.4014753520002725,1.2025212763195297,2.11003849661873,-0.24398782542513736,0.26087556768813563,1.291890625,4.7785,0.0010080645161290322,0.0446379384219869,0.0010080645161290322,0.4026875,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.363125,0.4026875,0.2341875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4026875,0.363125,0.2341875,n_q,17
0.002,8,31,31,25,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_q_25,2.2888815000005707,2.896950929548054,2.4014753520002725,1.206321325403187,2.1402023630239064,-0.09645839847233324,0.24907107264036693,1.2321875,3.922,0.0005040322580645161,0.023579604578563996,0.0005040322580645161,0.50975,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.3173125,0.50975,0.1729375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50975,0.3173125,0.1729375,n_q,25
