lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,8,31,21,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_b_21,0.9924824999998236,2.850518531878337,2.4014753520002725,1.186986378812525,2.12940524239561,-0.1615915166067902,0.258964441532607,1.28440625,5.115,0.0005040322580645161,0.04411764705882353,0.0005040322580645161,0.360625,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.3951875,0.360625,0.2441875,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.360625,0.3951875,0.2441875,n_b,21
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_b_31,1.7546780000011495,2.7178794125742005,2.4014753520002725,1.1317540320829793,1.9666423866654337,-0.19149413045844887,0.2582938605274368,1.27871875,5.144,0.00025201612903225806,0.03839444206402645,0.00025201612903225806,0.357,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.4159375,0.357,0.2270625,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.357,0.4159375,0.2270625,n_b,31
0.002,8,31,45,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_b_45,2.8293024000013247,2.6462714157876266,2.4014753520002725,1.1019356969803813,1.915053320334438,-0.18917355636915525,0.25589890561841316,1.26375,5.355,0.0,0.03513071895424837,0.0,0.330625,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.4270625,0.330625,0.2423125,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.330625,0.4270625,0.2423125,n_b,45
