n_steps,Ns,Nq,Nb,n_quad,control,interpolation,rmse_policy_interior,mae_policy_interior,max_abs_policy_interior,rmse_policy_global,mae_policy_global,max_abs_policy_global,rmse_hedge_bellman,rmse_hedge_delta_same_frequency,rmse_hedge_ratio
6,301,0,0,9,continuous,linear in S for quadratic value coefficients; analytic quadratic minimization in wealth,0.018469643471545005,0.012697823742101579,0.07247590911394564,0.13916608445151718,0.06805426552295758,0.7370429759606877,2.676832471483964,2.761760352915463,0.9692486419606088
12,301,0,0,9,continuous,linear in S for quadratic value coefficients; analytic quadratic minimization in wealth,0.009765346062502104,0.006555298376973217,0.05434664915230525,0.1363166467563017,0.06306344803176618,0.7701267874126693,1.9243284196825927,1.9751431701727384,0.9742728774007295
24,301,0,0,9,continuous,linear in S for quadratic value coefficients; analytic quadratic minimization in wealth,0.0053156503651850965,0.0035264347836241414,0.041162588394849764,0.13737478944231837,0.06209008976450159,0.7995869848266568,1.3434062971025074,1.3772667090679844,0.9754147749723865
48,301,0,0,9,continuous,linear in S for quadratic value coefficients; analytic quadratic minimization in wealth,0.0032497855550132127,0.002107151300456705,0.03166158574871292,0.1414608914900485,0.06323666193812967,0.8237064073679439,0.9777477632376708,1.0007999355477029,0.9769662532028277
