lambda,frequency,strategy,band,rmse,mae,pnl_mean,pnl_q01,pnl_q05,pnl_q50,pnl_q95,pnl_q99,mean_total_cost,mean_turnover,mean_n_rebalances,mse,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid
0.0005,12,bellman_dp_costs_adaptive,-1.0,3.341914362014333,2.6588995785690734,-0.22092096798897887,-8.574130938326332,-6.095713167632489,-0.3368580710739866,5.152394085244155,6.796994862281334,0.0778329781725919,1.5460625,4.682333333333333,11.168391603037664,0.18181818181818182,0.6727272727272727,0.14545454545454545,0.0,0.0,0.0,0.0
0.0005,12,delta_bs_same_frequency,0.0,1.9377377677629108,1.4732834567252842,-0.15071627038277205,-5.549837992241295,-3.3106196366747986,-0.11596569166179016,3.0559009998608087,4.411374674956235,0.07990304613899468,1.5823946905252415,11.996333333333334,3.754827656614789,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0005,252,best_no_trade_exp3,0.02,0.538509955278588,0.41044919451040945,-0.2264909173802912,-1.4869198923206282,-1.0372660839380254,-0.21499119003549794,0.5086997866800316,0.880366754282567,0.22746820196827194,4.532195633787686,97.32366666666667,0.28999297193414686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.002,12,bellman_dp_costs_adaptive,-1.0,3.3311567747713484,2.6641444777653955,-0.4153660455954009,-8.185900821829968,-6.051153417083856,-0.551100969846992,5.023313632351803,6.819988211548001,0.30667043104057856,1.5224583333333332,4.599666666666667,11.096605458105053,0.2,0.6545454545454545,0.14545454545454545,0.0,0.0,0.0,0.0
0.002,12,delta_bs_same_frequency,0.0,1.9872282594339168,1.5097487268510201,-0.3937171973753446,-5.884803619360284,-3.5776365154477956,-0.34451155890019436,2.8014144557303875,4.1964268970893555,0.31961218455597873,1.5823946905252415,11.996333333333334,3.9490761550927544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.002,126,best_no_trade_exp3,0.05,1.0324698928178966,0.799261213538742,-0.585648482795282,-2.903376418003371,-2.076983903641227,-0.5309834513505578,0.7048219113558547,1.2910379216741026,0.5645038496584784,2.813106770995302,28.928,1.0659940795753988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.01,12,bellman_dp_costs_adaptive,-1.0,3.649685067740351,2.8612730936574007,-1.5034790863881784,-10.509364564587631,-6.8741563161294446,-1.4158224605095597,3.9772366884248918,5.859046763762737,1.312189036561202,1.2996666666666667,3.5033333333333334,13.32020109368689,0.09090909090909091,0.8,0.10909090909090909,0.0,0.0,0.0,0.0
0.01,12,delta_bs_same_frequency,0.0,2.659977182080555,2.095006313389682,-1.6897221413357386,-7.6665634863132315,-5.212997502357689,-1.5628091840751699,1.545551921897783,2.989133630150489,1.5980609227798939,1.5823946905252415,11.996333333333334,7.0754786091892115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.01,26,best_no_trade_exp3,0.1,2.493747545028076,2.012142053802315,-1.725973413577801,-6.555302370035278,-4.850032776938312,-1.6439361856531889,1.1448577576248413,2.3355790917336456,1.6207213814603172,1.612085268927222,7.450666666666667,6.218776818333555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
