lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,8,31,31,17,17,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_action_17,0.8446105000002717,2.7195218162474615,2.4014753520002725,1.1324379465241137,1.9678845263902298,-0.19185499434626074,0.25814662310413705,1.27796875,5.138,0.0005040322580645161,0.04156209830446226,0.0005040322580645161,0.35775,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.4155625,0.35775,0.2266875,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.35775,0.4155625,0.2266875,n_action,17
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_action_33,1.4815579999994952,2.7178794125742005,2.4014753520002725,1.1317540320829793,1.9666423866654337,-0.19149413045844887,0.2582938605274368,1.27871875,5.144,0.00025201612903225806,0.03839444206402645,0.00025201612903225806,0.357,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.4159375,0.357,0.2270625,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.357,0.4159375,0.2270625,n_action,33
0.002,8,31,31,17,65,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_action_65,3.3891169000016816,2.722669267483467,2.4014753520002725,1.1337485788541035,1.9695548954350404,-0.19296347304388417,0.25802204220499536,1.27740625,5.1385,0.00025201612903225806,0.036443349452163806,0.00025201612903225806,0.3576875,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.415875,0.3576875,0.2264375,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.3576875,0.415875,0.2264375,n_action,65
