lambda,time_index,t,S,hold_fraction,buy_fraction,sell_fraction,hold_width_q
0.0005,0,0.0,34.99999999999999,0.0777988614800759,0.540796963946869,0.38140417457305503,0.0
0.0005,0,0.0,37.419520763669695,0.11005692599620494,0.5199240986717267,0.3700189753320683,0.0
0.0005,0,0.0,40.00630097664878,0.17267552182163187,0.4573055028462998,0.3700189753320683,0.0
0.0005,0,0.0,42.77190314495225,0.16318785578747627,0.4459203036053131,0.3908918406072106,0.0
0.0005,0,0.0,45.72868908097741,0.174573055028463,0.41935483870967744,0.4060721062618596,0.0
0.0005,0,0.0,48.88987515888658,0.17836812144212524,0.4155597722960152,0.4060721062618596,0.0
0.0005,0,0.0,52.269591389747866,0.14990512333965844,0.4098671726755218,0.44022770398481975,0.0
0.0005,0,0.0,55.8829445804915,0.16698292220113853,0.3946869070208729,0.43833017077798864,0.0
0.0005,0,0.0,59.74608585899154,0.15180265654648956,0.396584440227704,0.45161290322580644,0.0
0.0005,0,0.0,63.87628286710074,0.1555977229601518,0.38330170777988615,0.46110056925996207,0.0
0.0005,0,0.0,68.29199694432899,0.16888045540796964,0.3700189753320683,0.46110056925996207,0.0
0.0005,0,0.0,73.01296564716536,0.14990512333965844,0.3870967741935484,0.4629981024667932,0.0
0.0005,0,0.0,78.0602909728916,0.13851992409867173,0.40037950664136623,0.46110056925996207,0.0
0.0005,0,0.0,83.4565336822347,0.16318785578747627,0.396584440227704,0.44022770398481975,0.0
0.0005,0,0.0,89.22581414246514,0.16318785578747627,0.4098671726755218,0.4269449715370019,0.0
0.0005,0,0.0,95.39392014169457,0.1555977229601518,0.43833017077798864,0.4060721062618596,0.0
0.0005,0,0.0,101.98842215628537,0.127134724857685,0.4838709677419355,0.3889943074003795,0.0
0.0005,0,0.0,109.03879658660087,0.13282732447817835,0.5142314990512334,0.35294117647058826,0.0
0.0005,0,0.0,116.57655751193914,0.11764705882352941,0.5521821631878557,0.3301707779886148,0.0
0.0005,0,0.0,124.63539755357544,0.10246679316888045,0.5863377609108159,0.3111954459203036,0.0
0.0005,0,0.0,133.25133847554977,0.10815939278937381,0.6166982922201139,0.27514231499051234,0.0
0.0005,0,0.0,142.46289219636049,0.09487666034155598,0.6527514231499051,0.2523719165085389,0.0
0.0005,0,0.0,152.31123293126137,0.04743833017077799,0.6963946869070209,0.25616698292220114,0.0
0.0005,0,0.0,162.8403812346133,0.058823529411764705,0.7020872865275142,0.23908918406072105,0.0
0.0005,0,0.0,174.09740076492855,0.051233396584440226,0.7210626185958254,0.22770398481973433,0.0
0.0005,0,0.0,186.13260865211907,0.03984819734345351,0.7343453510436433,0.22580645161290322,0.0
0.0005,0,0.0,198.99980040725657,0.04933586337760911,0.7286527514231499,0.222011385199241,0.0
0.0005,0,0.0,212.756490380156,0.07210626185958255,0.6944971537001897,0.2333965844402277,0.0
0.0005,0,0.0,227.46416883959253,0.0777988614800759,0.6546489563567363,0.2675521821631879,0.0
0.0005,0,0.0,243.18857682525737,0.11195445920303605,0.45161290322580644,0.4364326375711575,0.0
0.0005,0,0.0,259.99999999999994,0.03984819734345351,0.3055028462998102,0.6546489563567363,0.0
0.0005,1,0.08333333333333333,34.99999999999999,0.07969639468690702,0.538899430740038,0.38140417457305503,0.0
0.0005,1,0.08333333333333333,37.419520763669695,0.1157495256166983,0.5180265654648957,0.36622390891840606,0.0
0.0005,1,0.08333333333333333,40.00630097664878,0.17836812144212524,0.45540796963946867,0.36622390891840606,0.0
0.0005,1,0.08333333333333333,42.77190314495225,0.17077798861480076,0.43833017077798864,0.3908918406072106,0.0
0.0005,1,0.08333333333333333,45.72868908097741,0.17647058823529413,0.42125237191650855,0.40227703984819735,0.0
0.0005,1,0.08333333333333333,48.88987515888658,0.18026565464895636,0.41366223908918404,0.4060721062618596,0.0
0.0005,1,0.08333333333333333,52.269591389747866,0.14990512333965844,0.4079696394686907,0.44212523719165087,0.0
0.0005,1,0.08333333333333333,55.8829445804915,0.16698292220113853,0.3908918406072106,0.44212523719165087,0.0
0.0005,1,0.08333333333333333,59.74608585899154,0.15370018975332067,0.3946869070208729,0.45161290322580644,0.0
0.0005,1,0.08333333333333333,63.87628286710074,0.15749525616698293,0.38140417457305503,0.46110056925996207,0.0
0.0005,1,0.08333333333333333,68.29199694432899,0.17267552182163187,0.3681214421252372,0.45920303605313095,0.0
0.0005,1,0.08333333333333333,73.01296564716536,0.15370018975332067,0.38519924098671726,0.46110056925996207,0.0
0.0005,1,0.08333333333333333,78.0602909728916,0.14231499051233396,0.3927893738140417,0.4648956356736243,0.0
0.0005,1,0.08333333333333333,83.4565336822347,0.17077798861480076,0.3889943074003795,0.44022770398481975,0.0
0.0005,1,0.08333333333333333,89.22581414246514,0.16129032258064516,0.4079696394686907,0.4307400379506641,0.0
0.0005,1,0.08333333333333333,95.39392014169457,0.16888045540796964,0.4269449715370019,0.40417457305502846,0.0
0.0005,1,0.08333333333333333,101.98842215628537,0.1347248576850095,0.476280834914611,0.3889943074003795,0.0
0.0005,1,0.08333333333333333,109.03879658660087,0.1366223908918406,0.5104364326375711,0.35294117647058826,0.0
0.0005,1,0.08333333333333333,116.57655751193914,0.12333965844402277,0.5483870967741935,0.32827324478178366,0.0
0.0005,1,0.08333333333333333,124.63539755357544,0.10436432637571158,0.5825426944971537,0.31309297912713474,0.0
0.0005,1,0.08333333333333333,133.25133847554977,0.11005692599620494,0.6148007590132827,0.27514231499051234,0.0
0.0005,1,0.08333333333333333,142.46289219636049,0.10056925996204934,0.6470588235294118,0.2523719165085389,0.0
0.0005,1,0.08333333333333333,152.31123293126137,0.05502846299810247,0.6888045540796964,0.25616698292220114,0.0
0.0005,1,0.08333333333333333,162.8403812346133,0.058823529411764705,0.7020872865275142,0.23908918406072105,0.0
0.0005,1,0.08333333333333333,174.09740076492855,0.051233396584440226,0.7210626185958254,0.22770398481973433,0.0
0.0005,1,0.08333333333333333,186.13260865211907,0.03984819734345351,0.7343453510436433,0.22580645161290322,0.0
0.0005,1,0.08333333333333333,198.99980040725657,0.051233396584440226,0.7267552182163188,0.222011385199241,0.0
0.0005,1,0.08333333333333333,212.756490380156,0.0683111954459203,0.7001897533206831,0.2314990512333966,0.0
0.0005,1,0.08333333333333333,227.46416883959253,0.08159392789373814,0.6546489563567363,0.2637571157495256,0.0
0.0005,1,0.08333333333333333,243.18857682525737,0.11764705882352941,0.45351043643263755,0.428842504743833,0.0
0.0005,1,0.08333333333333333,259.99999999999994,0.03984819734345351,0.30740037950664134,0.6527514231499051,0.0
0.0005,2,0.16666666666666666,34.99999999999999,0.08159392789373814,0.538899430740038,0.3795066413662239,0.0
0.0005,2,0.16666666666666666,37.419520763669695,0.12333965844402277,0.5123339658444023,0.36432637571157495,0.0
0.0005,2,0.16666666666666666,40.00630097664878,0.19165085388994307,0.44212523719165087,0.36622390891840606,0.0
0.0005,2,0.16666666666666666,42.77190314495225,0.18216318785578747,0.43453510436432635,0.38330170777988615,0.0
0.0005,2,0.16666666666666666,45.72868908097741,0.19165085388994307,0.4117647058823529,0.396584440227704,0.0
0.0005,2,0.16666666666666666,48.88987515888658,0.18975332068311196,0.40417457305502846,0.4060721062618596,0.0
0.0005,2,0.16666666666666666,52.269591389747866,0.1650853889943074,0.396584440227704,0.43833017077798864,0.0
0.0005,2,0.16666666666666666,55.8829445804915,0.18026565464895636,0.3795066413662239,0.44022770398481975,0.0
0.0005,2,0.16666666666666666,59.74608585899154,0.16318785578747627,0.38519924098671726,0.45161290322580644,0.0
0.0005,2,0.16666666666666666,63.87628286710074,0.15749525616698293,0.38140417457305503,0.46110056925996207,0.0
0.0005,2,0.16666666666666666,68.29199694432899,0.17647058823529413,0.3605313092979127,0.4629981024667932,0.0
0.0005,2,0.16666666666666666,73.01296564716536,0.1555977229601518,0.38330170777988615,0.46110056925996207,0.0
0.0005,2,0.16666666666666666,78.0602909728916,0.14800759013282733,0.3870967741935484,0.4648956356736243,0.0
0.0005,2,0.16666666666666666,83.4565336822347,0.17077798861480076,0.38330170777988615,0.4459203036053131,0.0
0.0005,2,0.16666666666666666,89.22581414246514,0.16129032258064516,0.40037950664136623,0.43833017077798864,0.0
0.0005,2,0.16666666666666666,95.39392014169457,0.17267552182163187,0.42314990512333966,0.40417457305502846,0.0
0.0005,2,0.16666666666666666,101.98842215628537,0.1442125237191651,0.47248576850094876,0.38330170777988615,0.0
0.0005,2,0.16666666666666666,109.03879658660087,0.1366223908918406,0.5104364326375711,0.35294117647058826,0.0
0.0005,2,0.16666666666666666,116.57655751193914,0.1252371916508539,0.5483870967741935,0.32637571157495254,0.0
0.0005,2,0.16666666666666666,124.63539755357544,0.10815939278937381,0.5768500948766604,0.31499051233396586,0.0
0.0005,2,0.16666666666666666,133.25133847554977,0.11385199240986717,0.6053130929791272,0.2808349146110057,0.0
0.0005,2,0.16666666666666666,142.46289219636049,0.0967741935483871,0.6413662239089184,0.2618595825426945,0.0
0.0005,2,0.16666666666666666,152.31123293126137,0.06641366223908918,0.6793168880455408,0.25426944971537,0.0
0.0005,2,0.16666666666666666,162.8403812346133,0.06261859582542695,0.6963946869070209,0.2409867172675522,0.0
0.0005,2,0.16666666666666666,174.09740076492855,0.05502846299810247,0.7172675521821632,0.22770398481973433,0.0
0.0005,2,0.16666666666666666,186.13260865211907,0.04554079696394687,0.7286527514231499,0.22580645161290322,0.0
0.0005,2,0.16666666666666666,198.99980040725657,0.05313092979127135,0.7267552182163188,0.22011385199240988,0.0
0.0005,2,0.16666666666666666,212.756490380156,0.06261859582542695,0.7077798861480076,0.22960151802656548,0.0
0.0005,2,0.16666666666666666,227.46416883959253,0.08159392789373814,0.6603415559772297,0.25806451612903225,0.0
0.0005,2,0.16666666666666666,243.18857682525737,0.12144212523719165,0.45540796963946867,0.42314990512333966,0.0
0.0005,2,0.16666666666666666,259.99999999999994,0.03984819734345351,0.3055028462998102,0.6546489563567363,0.0
0.0005,3,0.25,34.99999999999999,0.08538899430740038,0.538899430740038,0.3757115749525617,0.0
0.0005,3,0.25,37.419520763669695,0.12903225806451613,0.5123339658444023,0.3586337760910816,0.0
0.0005,3,0.25,40.00630097664878,0.19734345351043645,0.44212523719165087,0.3605313092979127,0.0
0.0005,3,0.25,42.77190314495225,0.19165085388994307,0.4250474383301708,0.38330170777988615,0.0
0.0005,3,0.25,45.72868908097741,0.19924098671726756,0.4060721062618596,0.3946869070208729,0.0
0.0005,3,0.25,48.88987515888658,0.2049335863377609,0.3946869070208729,0.40037950664136623,0.0
0.0005,3,0.25,52.269591389747866,0.17647058823529413,0.3927893738140417,0.4307400379506641,0.0
0.0005,3,0.25,55.8829445804915,0.18216318785578747,0.3776091081593928,0.44022770398481975,0.0
0.0005,3,0.25,59.74608585899154,0.17267552182163187,0.3795066413662239,0.4478178368121442,0.0
0.0005,3,0.25,63.87628286710074,0.16888045540796964,0.3738140417457306,0.4573055028462998,0.0
0.0005,3,0.25,68.29199694432899,0.18785578747628084,0.3548387096774194,0.4573055028462998,0.0
0.0005,3,0.25,73.01296564716536,0.16698292220113853,0.3719165085388994,0.46110056925996207,0.0
0.0005,3,0.25,78.0602909728916,0.1461100569259962,0.38140417457305503,0.47248576850094876,0.0
0.0005,3,0.25,83.4565336822347,0.174573055028463,0.3757115749525617,0.4497153700189753,0.0
0.0005,3,0.25,89.22581414246514,0.16318785578747627,0.3984819734345351,0.43833017077798864,0.0
0.0005,3,0.25,95.39392014169457,0.16888045540796964,0.42125237191650855,0.4098671726755218,0.0
0.0005,3,0.25,101.98842215628537,0.14990512333965844,0.4667931688804554,0.38330170777988615,0.0
0.0005,3,0.25,109.03879658660087,0.1366223908918406,0.5066413662239089,0.3567362428842505,0.0
0.0005,3,0.25,116.57655751193914,0.13092979127134724,0.5445920303605313,0.32447817836812143,0.0
0.0005,3,0.25,124.63539755357544,0.11385199240986717,0.5749525616698292,0.3111954459203036,0.0
0.0005,3,0.25,133.25133847554977,0.11764705882352941,0.6015180265654649,0.2808349146110057,0.0
0.0005,3,0.25,142.46289219636049,0.09867172675521822,0.6394686907020873,0.2618595825426945,0.0
0.0005,3,0.25,152.31123293126137,0.07210626185958255,0.6736242884250474,0.25426944971537,0.0
0.0005,3,0.25,162.8403812346133,0.06451612903225806,0.6963946869070209,0.23908918406072105,0.0
0.0005,3,0.25,174.09740076492855,0.07020872865275142,0.7020872865275142,0.22770398481973433,0.0
0.0005,3,0.25,186.13260865211907,0.05313092979127135,0.7229601518026565,0.2239089184060721,0.0
0.0005,3,0.25,198.99980040725657,0.051233396584440226,0.7305502846299811,0.21821631878557876,0.0
0.0005,3,0.25,212.756490380156,0.056925996204933584,0.713472485768501,0.22960151802656548,0.0
0.0005,3,0.25,227.46416883959253,0.08538899430740038,0.6641366223908919,0.2504743833017078,0.0
0.0005,3,0.25,243.18857682525737,0.13092979127134724,0.45161290322580644,0.4174573055028463,0.0
0.0005,3,0.25,259.99999999999994,0.03795066413662239,0.301707779886148,0.6603415559772297,0.0
0.0005,4,0.3333333333333333,34.99999999999999,0.09108159392789374,0.5426944971537002,0.36622390891840606,0.0
0.0005,4,0.3333333333333333,37.419520763669695,0.14231499051233396,0.5047438330170778,0.35294117647058826,0.0
0.0005,4,0.3333333333333333,40.00630097664878,0.21631878557874762,0.4269449715370019,0.3567362428842505,0.0
0.0005,4,0.3333333333333333,42.77190314495225,0.19924098671726756,0.42125237191650855,0.3795066413662239,0.0
0.0005,4,0.3333333333333333,45.72868908097741,0.2030360531309298,0.40417457305502846,0.3927893738140417,0.0
0.0005,4,0.3333333333333333,48.88987515888658,0.20872865275142316,0.3984819734345351,0.3927893738140417,0.0
0.0005,4,0.3333333333333333,52.269591389747866,0.18216318785578747,0.3946869070208729,0.42314990512333966,0.0
