lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_quad_3,2.9665435000006255,11.72453665529144,2.4014753520002725,4.882222357820855,8.838666465142328,-2.7976480038160227,0.39252918398486325,1.807,6.8865,0.0,0.015792373140723508,0.0,0.1391875,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.5081875,0.1391875,0.352625,0.0,0.0183125,0.0,0.0028125,0.00915625,0.0,0.01075,0.1391875,0.5081875,0.352625,n_quad,3
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,5,OFAT_n_quad_5,2.7196840999986307,13.007551315242011,2.4014753520002725,5.416483373192887,9.197922258666383,-2.9881894942529486,0.3192345211703789,1.4759375,6.813,0.0,0.016656974964803818,0.0,0.148375,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.521125,0.148375,0.3305,0.0,0.0063125,0.0,0.0,0.00315625,0.0,0.0096875,0.148375,0.521125,0.3305,n_quad,5
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,7,OFAT_n_quad_7,3.8068489999986923,13.196635462549269,2.4014753520002725,5.495220032784151,9.42888860147354,-3.1748927804157874,0.34242071315821637,1.57728125,7.298,0.0,0.016611066903348227,0.0,0.08775,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.51125,0.08775,0.401,0.0,0.0059375,0.0,0.0004375,0.00296875,1.785714285714286e-05,0.0116875,0.08775,0.51125,0.401,n_quad,7
