time_index,S,cash,q
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
0,100.0,8.916037278572539,0.0
