time_index,t,zone,rmse_policy_vs_delta,mae_policy_vs_delta,max_abs_policy_vs_delta,boundary_delta_lt_0_or_gt_1
0,0.0,interior,0.0056240304897719915,0.0036581619069036802,0.022157448256427625,False
0,0.0,global,0.24912082338492123,0.12606093202062887,0.8246212625845168,False
1,0.020833333333333332,interior,0.005231481133456114,0.0034748839844355897,0.020540429268286142,False
1,0.020833333333333332,global,0.24565107995553404,0.12364058281342946,0.8183750262591338,False
2,0.041666666666666664,interior,0.004863482613734554,0.0033025374981917707,0.01898298834207568,False
2,0.041666666666666664,global,0.24213935449260637,0.12120600502872475,0.811992233035136,False
3,0.0625,interior,0.004520535813653597,0.0031411310804815777,0.017486325454699303,False
3,0.0625,global,0.2385842117531875,0.11875688382163455,0.8054665497511271,False
4,0.08333333333333333,interior,0.004203128103537446,0.0029901958777001163,0.016051563380540812,False
4,0.08333333333333333,global,0.23498413852614672,0.11629289558054019,0.7987912058131192,False
5,0.10416666666666666,interior,0.003911709131708131,0.0028495645714496885,0.014679734799166289,False
5,0.10416666666666666,global,0.23133753787614467,0.11381370786619797,0.7919589532698308,False
6,0.125,interior,0.0036466554232477927,0.002719127738522918,0.013371768408390494,False
6,0.125,global,0.22764272285911136,0.11131897913910281,0.7849620223567443,False
7,0.14583333333333331,interior,0.003408222115079241,0.0025984657969968534,0.012128474010821066,False
7,0.14583333333333331,global,0.22389790965482442,0.10880835854294915,0.777792071869311,False
8,0.16666666666666666,interior,0.003196482023864443,0.0024872972150530785,0.010950526544848183,False
8,0.16666666666666666,global,0.22010121005629246,0.10628148608426911,0.7704401336128719,False
9,0.1875,interior,0.0030112555898966385,0.0023854669662109395,0.009838449042794628,False
9,0.1875,global,0.21625062324875438,0.10373799097745569,0.7628965500437987,False
10,0.20833333333333331,interior,0.0028520398637241545,0.002292485653927147,0.00879259452590142,False
10,0.20833333333333331,global,0.21234402680290165,0.1011774971569587,0.7551509040608476,False
11,0.22916666666666666,interior,0.002717949450806371,0.002207997968894448,0.007813126893559064,False
11,0.22916666666666666,global,0.20837916679711913,0.0985996210222544,0.7471919397250566,False
12,0.25,interior,0.0026076850197336893,0.002131808486983516,0.006900000939140449,False
12,0.25,global,0.20435364697169617,0.09600397158585365,0.7390074724766974,False
13,0.2708333333333333,interior,0.002519543163252973,0.0020633967893936276,0.006052941729734362,False
13,0.2708333333333333,global,0.2002649168038526,0.09339015160363999,0.7305842871741481,False
14,0.29166666666666663,interior,0.0024514739896831267,0.0020023412931539342,0.005271423723509083,False
14,0.29166666666666663,global,0.19611025837577759,0.09075775784458218,0.7219080219941745,False
15,0.3125,interior,0.0024011815483847452,0.0019483326656576576,0.004554650161523011,False
15,0.3125,global,0.1918867718888115,0.08810638296070451,0.7129630358949394,False
16,0.3333333333333333,interior,0.0023662513701474016,0.0019008276261836116,0.0042566888434029115,False
16,0.3333333333333333,global,0.18759135965575188,0.08543562022304545,0.7037322569360003,False
17,0.35416666666666663,interior,0.0023442835707905754,0.0018594406197490468,0.00432016711525679,False
17,0.35416666666666663,global,0.18322070838106996,0.08274506287594711,0.6941970082506845,False
18,0.375,interior,0.0023330110989224903,0.001823729763931675,0.004386729066424844,False
18,0.375,global,0.17877126951734712,0.08003430583361006,0.6843368078445642,False
19,0.3958333333333333,interior,0.00233038929466162,0.0017931622198879861,0.004456713332416873,False
19,0.3958333333333333,global,0.17423923746843822,0.07730293951078487,0.6741291376086451,False
20,0.41666666666666663,interior,0.0023346514422437218,0.001767356266986038,0.004530507769193004,False
20,0.41666666666666663,global,0.1696205254002139,0.0745505772030958,0.6635491759355496,False
21,0.4375,interior,0.0023443322188612782,0.0017457702021218154,0.004608544808594628,False
21,0.4375,global,0.164910738424787,0.07177684772275353,0.6525694870488989,False
22,0.4583333333333333,interior,0.0023582652942086614,0.0017279651417767528,0.0046912916636364654,False
22,0.4583333333333333,global,0.16010514395340705,0.0689814056365437,0.6411596585265799,False
23,0.47916666666666663,interior,0.00237556286792804,0.0017135062085104815,0.004779235263411952,False
23,0.47916666666666663,global,0.15519863908014128,0.06616393144388386,0.6292858764355151,False
24,0.5,interior,0.002395584536493952,0.0017019212400162871,0.004872862671552125,False
24,0.5,global,0.1501857149824078,0.06332414980433679,0.6169104249116031,False
25,0.5208333333333333,interior,0.0024179015497352613,0.0016928182905799835,0.004972638912507432,False
25,0.5208333333333333,global,0.14506041853322646,0.06046185226652902,0.603991093828113,False
26,0.5416666666666666,interior,0.002442260966466274,0.0016857862943064946,0.0050789855674063245,False
26,0.5416666666666666,global,0.13981631165482367,0.057576906122582934,0.5904804743235124,False
27,0.5625,interior,0.002468552827092538,0.0016804549107100064,0.005192366069012133,False
27,0.5625,global,0.13444642946583268,0.05466928110720453,0.5763251173588233,False
28,0.5833333333333333,interior,0.0024967823601439753,0.0016764880258046942,0.005316944381888622,False
28,0.5833333333333333,global,0.12894323908022107,0.0517390853545362,0.561464525150035,False
29,0.6041666666666666,interior,0.0025270484315121733,0.001673573345388317,0.005451704683954117,False
29,0.6041666666666666,global,0.12329860215598099,0.048786610081975025,0.5458299393818463,False
30,0.625,interior,0.0025595288914129284,0.00167146494859405,0.00559751645288209,False
30,0.625,global,0.1175037462088831,0.04581238918179238,0.529342883855866,False
31,0.6458333333333333,interior,0.0025944731473474987,0.001669940917891702,0.005755157340266492,False
31,0.6458333333333333,global,0.1115492527018677,0.042817282324019976,0.5119134133355743,False
32,0.6666666666666666,interior,0.0026322021976471024,0.0016688266809929025,0.005925302765013851,False
32,0.6666666666666666,global,0.10542507466694216,0.039802583050758414,0.49343801623724126,False
33,0.6875,interior,0.0026731165458640806,0.0016679842354435288,0.006115572065173158,False
33,0.6875,global,0.09912060426579286,0.036770160417838114,0.47379711938698854,False
34,0.7083333333333333,interior,0.002717712971631456,0.0016673097688248936,0.006331872582620635,False
34,0.7083333333333333,global,0.09262482326202184,0.03372266954880976,0.4528521542933639,False
35,0.7291666666666666,interior,0.0027666122085155116,0.0016667310760101238,0.0065713513955268366,False
35,0.7291666666666666,global,0.08592659046342971,0.03066383324789986,0.4304421786921159,False
36,0.75,interior,0.002820601433553357,0.0016662018469323387,0.006836218853735199,False
36,0.75,global,0.07901515639790546,0.027598837884964984,0.40638013077691537,False
37,0.7708333333333333,interior,0.002880698605155367,0.0016656941402355843,0.007128792407724682,False
37,0.7708333333333333,global,0.07188105923432565,0.024534896643662183,0.380448983213899,False
38,0.7916666666666666,interior,0.002948251138191234,0.0016651921207247468,0.007485442167319556,False
38,0.7916666666666666,global,0.06451767130970826,0.021482063880832607,0.35239848442580013,False
39,0.8125,interior,0.0030250914823269017,0.001664688542770119,0.007908326196574389,False
39,0.8125,global,0.05692388065863046,0.01845443305977207,0.3219441050396844,False
40,0.8333333333333333,interior,0.003113792228281169,0.0016641834452465858,0.008399712835617745,False
40,0.8333333333333333,global,0.049108806329717564,0.015471932774583497,0.2887718853290967,False
41,0.8541666666666666,interior,0.0032181066737699965,0.0016636862132414516,0.008974354319442546,False
41,0.8541666666666666,global,0.04110027633788416,0.01256307217395808,0.252557593126539,False
42,0.875,interior,0.003343783214726661,0.0016632220946802407,0.009739187051871712,False
42,0.875,global,0.032960543416347854,0.009769208723948082,0.21301953095784076,False
43,0.8958333333333333,interior,0.00350021241356601,0.001662846920588305,0.010756892674065266,False
43,0.8958333333333333,global,0.024816659349342345,0.007151228819528332,0.17005040934774285,False
44,0.9166666666666666,interior,0.003704188537923104,0.0016626820415972178,0.012118009400241325,False
44,0.9166666666666666,global,0.016923055798918285,0.004799775724203136,0.12403790539931026,False
45,0.9375,interior,0.003990108131318853,0.0016630118558687405,0.014069289431928811,False
45,0.9375,global,0.009808052933064169,0.002849059277889117,0.0766436862498211,False
46,0.9583333333333333,interior,0.004446227801117315,0.0016647128305341827,0.017776092577765634,False
46,0.9583333333333333,global,0.004722051023090696,0.001484641190927197,0.03267244915828471,False
47,0.9791666666666666,interior,0.0054434611634382995,0.0016808780448717418,0.027150528100195026,False
47,0.9791666666666666,global,0.0038482224581321287,0.0008822291510794116,0.02641312065141499,False
