lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,8,31,31,17,17,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_action_17,1.0217336000005162,11.984532176101238,2.4014753520002725,4.990487271134764,9.34560694790167,-2.891449151908875,0.3449032474927313,1.566625,6.6495,0.0,0.022433739364632433,0.0,0.1688125,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.5469375,0.1688125,0.28425,0.0,0.023125,0.0,0.006,0.0115625,0.0,0.014625,0.1688125,0.5469375,0.28425,n_action,17
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_action_33,1.9962626999986242,11.72453665529144,2.4014753520002725,4.882222357820855,8.838666465142328,-2.7976480038160227,0.39252918398486325,1.807,6.8865,0.0,0.015792373140723508,0.0,0.1391875,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.5081875,0.1391875,0.352625,0.0,0.0183125,0.0,0.0028125,0.00915625,0.0,0.01075,0.1391875,0.5081875,0.352625,n_action,33
0.002,8,31,31,17,65,empirical_quantile,strike_dense,uniform,uniform,quadratic_cash,discrete,3,OFAT_n_action_65,3.4262978000006115,12.647920774326677,2.4014753520002725,5.26672937275487,9.259505171161685,-2.8872033219503135,0.35773093276954593,1.64934375,7.093,0.0,0.0147594417579727,0.0,0.113375,34.99999999999999,259.99999999999994,-120.68408103683089,25.82040053710342,0.0,1.0,0.5155,0.113375,0.371125,0.0,0.01325,0.0,0.0021875,0.006625,0.0,0.0108125,0.113375,0.5155,0.371125,n_action,65
