lambda,n_steps,Ns,Nb,Nq,Na,cash_mode,s_mode,q_mode,action_mode,interp_method,control_mode,n_quad,config_id,solve_seconds,rmse_bellman,rmse_delta_same_frequency,rmse_ratio_vs_delta,mae_bellman,bias_bellman,mean_cost_bellman,mean_turnover_bellman,mean_trades_bellman,hold_width_mean,hold_fraction_grid,HOLD_width,HOLD_fraction,s_grid_min,s_grid_max,cash_grid_min,cash_grid_max,q_grid_min,q_grid_max,buy_frequency,hold_frequency,sell_frequency,fraction_s_near_boundary,fraction_cash_near_boundary,fraction_s_outside_grid,fraction_cash_outside_grid,fraction_near_boundaries,fraction_transition_s_outside_grid,fraction_transition_cash_outside_grid,hold_fraction_realized,buy_fraction_realized,sell_fraction_realized,sweep_parameter,sweep_value
0.002,8,21,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_s_21,0.9749565999991319,2.7167165113296288,2.4014753520002725,1.131269787577366,1.9729542531402449,-0.2197159418472405,0.25732268614831016,1.273890625,5.148,0.0003720238095238095,0.03688894912803831,0.0003720238095238095,0.3565,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.417,0.3565,0.2265,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.3565,0.417,0.2265,n_s,21
0.002,8,31,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_s_31,1.9199029999999766,2.7178794125742005,2.4014753520002725,1.1317540320829793,1.9666423866654337,-0.19149413045844887,0.2582938605274368,1.27871875,5.144,0.00025201612903225806,0.03839444206402645,0.00025201612903225806,0.357,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.4159375,0.357,0.2270625,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.357,0.4159375,0.2270625,n_s,31
0.002,8,45,31,17,33,empirical_quantile,strike_dense,uniform,uniform,linear,discrete,3,OFAT_n_s_45,2.9061099000009563,2.7396524801386666,2.4014753520002725,1.1408205700952603,1.9819977788950238,-0.19577824687780043,0.2596891292778945,1.28609375,5.189,0.0,0.038878347037739826,0.0,0.351375,34.99999999999999,259.99999999999994,-119.0471795986437,11.334100995800767,0.0,1.0,0.4188125,0.351375,0.2298125,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.351375,0.4188125,0.2298125,n_s,45
