lambda,frequency,strategy,band,rmse,mae,bias,q01,q05,q50,q95,q99,mean_cost,turnover,n_trades,knockout_fraction,rmse_knockout,rmse_survivor,rmse_near_barrier,rmse_barrier_delta
0.0,6,bellman_lambda0,-1.0,2.479034932858616,1.8776207797377173,0.19913852301303947,-6.63799559417996,-4.034160363769973,0.172529065736299,4.398724773452903,5.839785005292091,0.0,1.250305398083334,6.0,0.1908,2.2952717500350905,2.5204129115386507,2.5037724717267924,2.675714665690607
0.0,12,bellman_lambda0,-1.0,1.791438365179246,1.3220742933489567,0.1246641093714577,-4.910367867259914,-2.7781567011823856,0.13407778403131887,3.146751952732729,4.572401179006281,0.0,1.5580593135342464,12.0,0.1908,1.480417417699073,1.8572004264921844,1.865323648811962,1.9262181438513613
0.0,24,bellman_lambda0,-1.0,1.3055677764475824,0.9647650169377171,0.04676808767216954,-3.7086841386731364,-2.1372853594804666,0.04584069030234541,2.1856421819743885,3.432376687680332,0.0,1.991723310136216,24.0,0.1908,1.0541459590244564,1.358085641432737,1.3148216905798715,1.3740968619171448
