lambda,frequency,strategy,band,rmse,mae,bias,q01,q05,q50,q95,q99,mean_cost,turnover,n_trades,knockout_fraction,rmse_knockout,rmse_survivor,rmse_near_barrier,Ns
0.0,12,bellman_lambda0,-1.0,1.7932994060085814,1.324723599980126,0.12687957107953574,-4.849186715634663,-2.7744547211445547,0.126822610029663,3.1660083844138205,4.582646156874033,0.0,1.5548996104806498,12.0,0.1908,1.489459192674719,1.8577153109914464,1.8660992549730255,81
0.0,12,bellman_lambda0,-1.0,1.791438365179246,1.3220742933489567,0.1246641093714577,-4.910367867259914,-2.7781567011823856,0.13407778403131887,3.146751952732729,4.572401179006281,0.0,1.5580593135342464,12.0,0.1908,1.480417417699073,1.8572004264921844,1.865323648811962,151
0.0,12,bellman_lambda0,-1.0,1.7912666605233931,1.3215357214801218,0.12418559057116939,-4.9261177003202405,-2.7864897346582915,0.1334846986333007,3.14585693854107,4.569150263919343,0.0,1.5586947943163278,12.0,0.1908,1.4789661822986409,1.8572683874428326,1.8659244256158718,251
