Ny,Nt,dy,dt,lambda,V_hat,V_exact,pi_hat,pi_exact,relative_error_V,relative_error_pi,n_concavity_violations,n_near_zero_denom,n_denom_clipped,min_denom,max_denom,has_nan,has_inf,first_violation_time,order_V,order_pi
51,1200,0.1200000000000001,0.0008333333333333334,0.057870370370370273,-0.4658368179160178,-0.46619690995297414,0.49681123828171636,0.4999999999999999,0.0007724033112803855,0.006377523436567058,0,0,0,-958.1527161427181,-0.008897650766390968,False,False,,,
101,1200,0.06000000000000005,0.0008333333333333334,0.2314814814814811,-0.4661063757394388,-0.46619690995297414,0.4992007035978183,0.4999999999999999,0.00019419736940011858,0.0015985928043631419,0,0,0,-1075.1462402954241,-0.007843630450450632,False,False,,1.9918306909866668,1.996193795096125
201,1200,0.029999999999999805,0.0008333333333333334,0.925925925925938,-0.466173575167829,-0.46619690995297414,0.49980004399374406,0.4999999999999999,5.0053495951980645e-05,0.00039991201251166075,0,0,0,-1140.2607789232197,-0.007369468724681343,False,False,,1.9559809163899067,1.9990479780359969
401,1200,0.015000000000000124,0.0008333333333333334,3.7037037037036424,-0.46619036315670676,-0.46619690995297414,0.49995000274993595,0.4999999999999999,1.4042985115542509e-05,9.999450012787572e-05,0,0,0,-1174.6344683561615,-0.0071468807930164125,False,False,,1.8336211948812882,1.9997619658733592
801,1200,0.00749999999999984,0.0008333333333333334,14.814814814815447,-0.46619455941229426,-0.46619690995297414,0.499987500171801,0.4999999999999999,5.041948219071551e-06,2.4999656397795007e-05,0,0,0,-1192.2973707122285,-0.007039272812582255,False,False,,1.4777964348686663,1.999940480099619
