Ny,Nt,dt,dy,lambda,V_hat,V_exact,pi_hat,pi_exact,relative_error_V,relative_error_pi,n_concavity_violations,n_near_zero_denom,n_denom_clipped,min_denom,max_denom,has_nan,has_inf,first_violation_time
801,40,0.025,0.00749999999999984,444.44444444446344,,-0.46619690995297414,,0.4999999999999999,,,2185,0,2185,-1.2639450734025659e+308,1.5930762923497016e+308,True,True,0.875
801,50,0.02,0.00749999999999984,355.5555555555707,,-0.46619690995297414,,0.4999999999999999,,,2161,0,2161,-1.0388885449360407e+308,1.6645727674542102e+308,True,True,0.88
801,60,0.016666666666666666,0.00749999999999984,296.2962962963089,,-0.46619690995297414,,0.4999999999999999,,,2139,0,2139,-1.3787814674917246e+307,1.743055174375144e+308,True,True,0.8833333333333333
801,75,0.013333333333333334,0.00749999999999984,237.03703703704716,,-0.46619690995297414,,0.4999999999999999,,,2097,0,2097,-1.7477362703700707e+308,8.089250478546368e+306,True,True,0.8933333333333333
801,90,0.011111111111111112,0.00749999999999984,197.5308641975393,,-0.46619690995297414,,0.4999999999999999,,,2080,0,2080,-5.3516783699580006e+306,1.66365969665666e+308,True,True,0.8888888888888888
801,100,0.01,0.00749999999999984,177.77777777778536,,-0.46619690995297414,,0.4999999999999999,,,2058,0,2058,-6.689567669149965e+306,6.688532104862019e+306,True,True,0.88
801,110,0.00909090909090909,0.00749999999999984,161.6161616161685,,-0.46619690995297414,,0.4999999999999999,,,2014,0,2014,-1.3654595718179846e+308,6.852900226061509e+307,True,True,0.8636363636363636
801,125,0.008,0.00749999999999984,142.22222222222828,,-0.46619690995297414,,0.4999999999999999,,,1940,0,1940,-1.236011407929835e+307,1.235990648524391e+307,True,True,0.848
801,150,0.006666666666666667,0.00749999999999984,118.51851851852358,,-0.46619690995297414,,0.4999999999999999,,,1694,0,1694,-5.505907745843408e+305,5.505579334860904e+305,True,True,0.74
801,175,0.005714285714285714,0.00749999999999984,101.58730158730592,-0.46618898235366607,-0.46619690995297414,0.4999875001718509,0.4999999999999999,1.700483023121275e-05,2.4999656297985957e-05,0,0,0,-1192.2973707122285,-0.007042509572196057,False,False,
801,200,0.005,0.00749999999999984,88.88888888889268,-0.4661897986631683,-0.46619690995297414,0.4999875001718486,0.4999999999999999,1.5253832992087826e-05,2.499965630253787e-05,0,0,0,-1192.2973707122285,-0.007042098355500702,False,False,
801,250,0.004,0.00749999999999984,71.11111111111414,-0.4661909414074206,-0.46619690995297414,0.4999875001718436,0.4999999999999999,1.2802627872664729e-05,2.499965631252988e-05,0,0,0,-1192.2973707122285,-0.007041419803131706,False,False,
801,300,0.0033333333333333335,0.00749999999999984,59.25925925926179,-0.46619170317920877,-0.46619690995297414,0.4999875001719243,0.4999999999999999,1.116861492258743e-05,2.4999656151214473e-05,0,0,0,-1192.2973707122285,-0.007040967583066006,False,False,
801,400,0.0025,0.00749999999999984,44.44444444444634,-0.4661926553290247,-0.46619690995297414,0.4999875001718998,0.4999999999999999,9.126237987845441e-06,2.499965620017531e-05,0,0,0,-1192.2973707122285,-0.00704040247460966,False,False,
801,600,0.0016666666666666668,0.00749999999999984,29.629629629630895,-0.46619360740671667,-0.46619690995297414,0.4999875001717673,0.4999999999999999,7.084015760206651e-06,2.4999656465185545e-05,0,0,0,-1192.2973707122285,-0.00703983755115572,False,False,
801,800,0.00125,0.00749999999999984,22.22222222222317,-0.46619408341851953,-0.46619690995297414,0.4999875001718763,0.4999999999999999,6.0629626543173134e-06,2.4999656247137743e-05,0,0,0,-1192.2973707122285,-0.007039555158757625,False,False,
801,1200,0.0008333333333333334,0.00749999999999984,14.814814814815447,-0.46619455941229426,-0.46619690995297414,0.499987500171801,0.4999999999999999,5.041948219071551e-06,2.4999656397795007e-05,0,0,0,-1192.2973707122285,-0.007039272812582255,False,False,
