lambda,time,S,delta_bs,position_delta_bs,position_optimized,optimized_band
0.0,0.0,100.0,0.579259709439103,0.579259709439103,0.579259709439103,0.0
0.0,0.003968253968253968,98.2455318053901,0.5441619254667258,0.5441619254667258,0.5441619254667258,0.0
0.0,0.007936507936507936,99.8460349660527,0.5759212418138073,0.5759212418138073,0.5759212418138073,0.0
0.0,0.011904761904761904,98.78029460810997,0.5545151066748277,0.5545151066748277,0.5545151066748277,0.0
0.0,0.015873015873015872,98.48172096273316,0.5482716137638253,0.5482716137638253,0.5482716137638253,0.0
0.0,0.01984126984126984,98.41171144917399,0.5466285735160329,0.5466285735160329,0.5466285735160329,0.0
0.0,0.023809523809523808,97.52060039321938,0.5281221740906668,0.5281221740906668,0.5281221740906668,0.0
0.0,0.027777777777777776,95.87729230889917,0.49350213050184527,0.49350213050184527,0.49350213050184527,0.0
0.0,0.031746031746031744,96.68734689772919,0.5102208103951741,0.5102208103951741,0.5102208103951741,0.0
0.0,0.03571428571428571,97.15129879915277,0.5196364763633105,0.5196364763633105,0.5196364763633105,0.0
0.0,0.03968253968253968,94.81274849655654,0.46979428782558497,0.46979428782558497,0.46979428782558497,0.0
0.0,0.04365079365079365,97.68192677968486,0.530159845620288,0.530159845620288,0.530159845620288,0.0
0.0,0.047619047619047616,98.9046806255062,0.5551769354298152,0.5551769354298152,0.5551769354298152,0.0
0.0,0.051587301587301584,97.98626153406306,0.5359870207715773,0.5359870207715773,0.5359870207715773,0.0
0.0,0.05555555555555555,99.12998864472847,0.5593839511890332,0.5593839511890332,0.5593839511890332,0.0
0.0,0.05952380952380952,98.57198009934953,0.5476790869431891,0.5476790869431891,0.5476790869431891,0.0
0.0,0.06349206349206349,98.52009355969395,0.5463769057830168,0.5463769057830168,0.5463769057830168,0.0
0.0,0.06746031746031746,99.52781200124016,0.5669560950238186,0.5669560950238186,0.5669560950238186,0.0
0.0,0.07142857142857142,97.98777124357056,0.5347638451592367,0.5347638451592367,0.5347638451592367,0.0
0.0,0.07539682539682539,98.72477278002496,0.5499662243582162,0.5499662243582162,0.5499662243582162,0.0
0.0,0.07936507936507936,100.50419616168675,0.586327286927704,0.586327286927704,0.586327286927704,0.0
0.0,0.08333333333333333,102.21689368712215,0.6201955022272179,0.6201955022272179,0.6201955022272179,0.0
0.0,0.0873015873015873,101.85591465824722,0.6130635145276874,0.6130635145276874,0.6130635145276874,0.0
0.0,0.09126984126984126,103.04574572723347,0.6360882102850417,0.6360882102850417,0.6360882102850417,0.0
0.0,0.09523809523809523,100.98591947913789,0.5955362000295308,0.5955362000295308,0.5955362000295308,0.0
0.0,0.0992063492063492,100.80885448691808,0.5918321474728855,0.5918321474728855,0.5918321474728855,0.0
0.0,0.10317460317460317,101.4054923016135,0.6037601731092531,0.6037601731092531,0.6037601731092531,0.0
0.0,0.10714285714285714,99.72711114778949,0.5692726055636912,0.5692726055636912,0.5692726055636912,0.0
0.0,0.1111111111111111,99.64825105178097,0.5674456285730999,0.5674456285730999,0.5674456285730999,0.0
0.0,0.11507936507936507,101.86152282136167,0.6126275889975974,0.6126275889975974,0.6126275889975974,0.0
0.0,0.11904761904761904,105.30259629251066,0.6783034807900381,0.6783034807900381,0.6783034807900381,0.0
0.0,0.12301587301587301,106.36430088155792,0.6973245209241472,0.6973245209241472,0.6973245209241472,0.0
0.0,0.12698412698412698,107.50613275086536,0.7170787397056682,0.7170787397056682,0.7170787397056682,0.0
0.0,0.13095238095238093,106.24033861050867,0.6953657229963401,0.6953657229963401,0.6953657229963401,0.0
0.0,0.1349206349206349,104.65875528823634,0.6666950320281838,0.6666950320281838,0.6666950320281838,0.0
0.0,0.1388888888888889,102.83749216597727,0.6316972091757898,0.6316972091757898,0.6316972091757898,0.0
0.0,0.14285714285714285,103.5661915621723,0.645948756782331,0.645948756782331,0.645948756782331,0.0
0.0,0.1468253968253968,104.57688907199707,0.6653055581263061,0.6653055581263061,0.6653055581263061,0.0
