t_index,t,seed,N,M,dt,scheme,RMSE_p,relative_RMSE_p,MAE_p,median_abs_error_p,q05_abs_error_p,q50_abs_error_p,q95_abs_error_p,RMSE_q,relative_RMSE_q,MAE_q,median_abs_error_q,q05_abs_error_q,q50_abs_error_q,q95_abs_error_q,RMSE_Hpi,MAE_Hpi,median_abs_error_Hpi,q05_abs_error_Hpi,q50_abs_error_Hpi,q95_abs_error_Hpi,RMSE_pi_reconstructed,relative_RMSE_pi_reconstructed,MAE_pi_reconstructed,median_abs_error_pi_reconstructed,q05_abs_error_pi_reconstructed,q50_abs_error_pi_reconstructed,q95_abs_error_pi_reconstructed,runtime
0,0.0,0,50,40000,0.02,exact,0.0012090144196308381,0.001296677856308392,0.0012090144196308383,0.0012090144196308383,0.0012090144196308383,0.0012090144196308383,0.0012090144196308383,0.025637128336558287,0.09165343294941024,0.025637128336558287,0.02563712833655829,0.02563712833655829,0.02563712833655829,0.02563712833655829,0.005054884802133821,0.0050548848021338185,0.00505488480213382,0.00505488480213382,0.00505488480213382,0.00505488480213382,0.0006483389281541906,0.0012966778563083814,0.0006483389281541907,0.0006483389281541907,0.0006483389281541907,0.0006483389281541907,0.0006483389281541907,0.5355739000078756
12,0.24,0,50,40000,0.02,exact,0.0013297183660042938,0.0014181505201482036,0.001068336777208817,0.0009212958349177902,8.458998442907317e-05,0.0009212958349177902,0.0025665612004817525,0.004520780072604661,0.016071439826026122,0.003718882202216926,0.0033249712429327116,0.0003113992355918499,0.0033249712429327116,0.008441738355969132,0.0009264997066853379,0.0007576289995252015,0.0006701861265238085,6.501562013985184e-05,0.0006701861265238085,0.0017454696885681148,0.00060931684359035,0.0012024241276104223,0.0005272958011256998,0.0005205372838819611,5.710445542070897e-05,0.0005205372838819611,0.0010347614731415484,0.5355739000078756
25,0.5,0,50,40000,0.02,exact,0.0009575064861219435,0.0010149190566464419,0.000925787821968994,0.0009023169721765756,0.0005688278462767926,0.0009023169721765756,0.0013629966012347998,0.07045316235199549,0.24892523134629863,0.057608437124034344,0.0512747404211199,0.005052647896186158,0.0512747404211199,0.13110536717835417,0.014095414740149106,0.011529802889302658,0.0102645920341818,0.0010192279501878264,0.0102645920341818,0.026217565557090126,0.0005070457707829315,0.0009864570585594197,0.0005069512598851818,0.0005100405115384121,0.00048714699436813724,0.0005100405115384121,0.000516361906099494,0.5355739000078756
38,0.76,0,50,40000,0.02,exact,0.000728347521099324,0.0007673146237929349,0.0006506359186097947,0.0006098769693734796,0.0001919033412518867,0.0006098769693734796,0.0012453636854081846,0.005997571620313068,0.021061486347275938,0.005799887679253436,0.005985840112812307,0.002989949514902174,0.005985840112812307,0.007958761874457782,0.001232478503200664,0.0011984688325428628,0.0012336852595133292,0.0006723106669233863,0.0012336852595133292,0.0016032665753666683,0.000344198448176484,0.0006600586825761445,0.0003372503181895152,0.00035559896944142855,0.0001990685728313013,0.00035559896944142855,0.00041119703156632933,0.5355739000078756
49,0.98,0,50,40000,0.02,exact,0.00030924324735377115,0.00032424644523193616,0.00023576673980308467,0.00018398094825011757,1.5514779569475445e-05,0.00018398094825011757,0.0006284145141489893,0.07715135377937943,0.2696480566874182,0.059043515825407726,0.046530413499954404,0.0040158773822899325,0.046530413499954404,0.15621066932318714,0.01541171786061142,0.011794560364828973,0.009295095966771576,0.0008020345912929768,0.009295095966771576,0.03120442899378851,0.0001315513204311414,0.0002491631339473047,0.00011458254990140499,0.00011726025739483559,1.3622572640592523e-05,0.00011726025739483559,0.0002022003456026572,0.5355739000078756
