t_index,t,N,M,RMSE_p_mean,relative_RMSE_p_mean,RMSE_q_mean,relative_RMSE_q_mean,RMSE_Hpi_mean,RMSE_pi_reconstructed_mean,relative_RMSE_pi_reconstructed_mean,RMSE_p_std,relative_RMSE_p_std,RMSE_q_std,relative_RMSE_q_std,RMSE_Hpi_std,RMSE_pi_reconstructed_std,relative_RMSE_pi_reconstructed_std
0,0.0,50,40000,0.0009259748323062755,0.0009931155832839816,0.01807603376110243,0.06462231364469928,0.0036105583081304945,0.0004965577916419717,0.0009931155832839434,0.0004907003235263942,0.0005262801115261485,0.020597579004561155,0.07363690665473974,0.004137661277760715,0.0002631400557631151,0.0005262801115262302
12,0.24,50,40000,0.0010726695022348221,0.001143338449262531,0.020767076723993794,0.07377343753605269,0.004117998139524855,0.0005396712700304887,0.001065285905659846,0.00029388003918606547,0.0003133574731660349,0.015611948935315628,0.05547512522147577,0.003107018568845768,9.419454154242218e-05,0.0001858431023975254
25,0.5,50,40000,0.0008176068213290872,0.0008659343154154965,0.0470250684429065,0.16599516230710534,0.0093851476263422,0.00044752222433127405,0.000870840143949873,0.00023626481693678246,0.00025080249714301876,0.01530061699081159,0.05409487540438379,0.003067227932495915,0.00015866576132022252,0.0003087339600216681
38,0.76,50,40000,0.000533141903435189,0.0005613332502062669,0.03819405031155873,0.1340404520393305,0.0076359175451775315,0.0003351518295328114,0.0006427884651998125,0.00012356365038037858,0.00013045414760402618,0.02479386383892586,0.08713631835323796,0.004950515840097461,8.39931902346934e-05,0.00016105331424594072
49,0.98,50,40000,0.00029876340371121876,0.00031265509762696517,0.07315328541032987,0.2551954870822011,0.014612735886759553,0.00018876563518537587,0.0003577152299566406,0.00018051713666876817,0.00018814724009584452,0.04329779983591583,0.1504486999568547,0.008648742421176416,0.00015807395295252852,0.0002997348886554151
