t_index,t,seed,N,M,dt,scheme,RMSE_p,relative_RMSE_p,MAE_p,median_abs_error_p,q05_abs_error_p,q50_abs_error_p,q95_abs_error_p,RMSE_q,relative_RMSE_q,MAE_q,median_abs_error_q,q05_abs_error_q,q50_abs_error_q,q95_abs_error_q,RMSE_Hpi,MAE_Hpi,median_abs_error_Hpi,q05_abs_error_Hpi,q50_abs_error_Hpi,q95_abs_error_Hpi,RMSE_pi_reconstructed,relative_RMSE_pi_reconstructed,MAE_pi_reconstructed,median_abs_error_pi_reconstructed,q05_abs_error_pi_reconstructed,q50_abs_error_pi_reconstructed,q95_abs_error_pi_reconstructed,runtime
0,0.0,0,50,2000,0.02,exact,0.001944402067750151,0.0020853871253096517,0.0019444020677501506,0.0019444020677501506,0.0019444020677501506,0.0019444020677501506,0.0019444020677501506,0.06289606784312751,0.22485515776824838,0.06289606784312751,0.06289606784312751,0.06289606784312751,0.06289606784312751,0.06289606784312751,0.012695877692690526,0.012695877692690526,0.012695877692690524,0.012695877692690524,0.012695877692690524,0.012695877692690524,0.0010426935626547398,0.00208538712530948,0.0010426935626547396,0.0010426935626547396,0.0010426935626547396,0.0010426935626547396,0.0010426935626547396,0.029026600008364767
12,0.24,0,50,2000,0.02,exact,0.0026393958625209723,0.0028065078031248446,0.0020992096941369,0.0017863546902621152,0.00014849169199270817,0.0017863546902621152,0.005099563085273811,0.38932972650447806,1.379933101281301,0.34010251562986193,0.33873847148588443,0.04344085481174911,0.33873847148588443,0.6614279561602346,0.07795014132175856,0.06806691404425286,0.06775391775381501,0.008628512002367422,0.06775391775381501,0.13252544238255468,0.0015351376194235446,0.003033573184668523,0.0011762349007238895,0.0009744896754675936,7.995888562751242e-05,0.0009744896754675936,0.0030370526471002355,0.029026600008364767
25,0.5,0,50,2000,0.02,exact,0.004142536846080719,0.004353225131316686,0.0035304667912128052,0.0033653034990289155,0.00034785150423896074,0.0033653034990289155,0.007241384144550539,0.255175748520021,0.893846389812137,0.20985731779389613,0.18956021215706131,0.018958409490435667,0.18956021215706131,0.47412194183128864,0.05100933453059415,0.04186772803756588,0.03772545386965878,0.0038654001409585367,0.03772545386965878,0.09497285385832681,0.003145982066829103,0.006137945840542106,0.002363635238921395,0.0017725586792477488,0.000151228207920312,0.0017725586792477488,0.006381478271116403,0.029026600008364767
38,0.76,0,50,2000,0.02,exact,0.001883321911286147,0.0019702078248628302,0.0015811706665200165,0.0015083175458049936,0.00015224694069359003,0.0015083175458049936,0.003334955368237491,0.3235027516806863,1.1280911827595776,0.24399510289011495,0.1933787410569672,0.01629624842027082,0.1933787410569672,0.6591074596978045,0.06463543763654991,0.04874434973186871,0.03867937109333324,0.0032942471857399704,0.03867937109333324,0.13171719356112557,0.001580238462235307,0.0030354617779345294,0.0011340619839060333,0.0007728066553782664,6.82731787268881e-05,0.0007728066553782664,0.003321932232233088,0.029026600008364767
49,0.98,0,50,2000,0.02,exact,0.0014270531707144224,0.0014833096096126782,0.0010787178187188458,0.0008170855696834345,7.833625661418653e-05,0.0008170855696834345,0.002920051716548277,0.36181497163208926,1.2535940854372372,0.2737435948320689,0.20758832245859643,0.01980840486772683,0.20758832245859643,0.7396355481330363,0.07227737202194069,0.05468399632912394,0.04146886072435639,0.00395646172589857,0.04146886072435639,0.1477519065236144,0.0006092322944200258,0.0011552215704338288,0.0005254829831452572,0.0005271406025965653,6.61270881994025e-05,0.0005271406025965653,0.0009367419362479145,0.029026600008364767
0,0.0,0,50,5000,0.02,exact,8.056541447198917e-05,8.640706614734523e-05,8.056541447198917e-05,8.056541447198917e-05,8.056541447198917e-05,8.056541447198917e-05,8.056541447198917e-05,0.039343939212134714,0.14065565562594354,0.03934393921213472,0.03934393921213472,0.03934393921213472,0.03934393921213472,0.03934393921213472,0.00786395391755864,0.00786395391755864,0.00786395391755864,0.00786395391755864,0.00786395391755864,0.00786395391755864,4.320353307368797e-05,8.640706614737595e-05,4.320353307368796e-05,4.320353307368796e-05,4.320353307368796e-05,4.320353307368796e-05,4.320353307368796e-05,0.08156459999736398
12,0.24,0,50,5000,0.02,exact,0.001061029863561091,0.0011313331166935604,0.0008480008327333835,0.0007284713600401171,6.639271028290317e-05,0.0007284713600401171,0.002036643563367347,0.23025892711951204,0.8183858551361568,0.22963617585410948,0.23033290452716146,0.20049863402687118,0.23033290452716146,0.2555668752946829,0.04606171377475302,0.04593247164948986,0.04607442943518506,0.03999572600031595,0.04607442943518506,0.051215826298849854,0.0006445250387511201,0.0012722190183900553,0.0004884591616484411,0.000390295578920119,3.531160470476857e-05,0.000390295578920119,0.0013016203438014965,0.08156459999736398
25,0.5,0,50,5000,0.02,exact,0.002129559547069262,0.0022510744650907095,0.0017988108177512125,0.001722678699306146,0.00016617886913302684,0.001722678699306146,0.003765697377378864,0.15205171094018796,0.5357598074554312,0.11838951957472005,0.0969639308186708,0.00822919158056337,0.0969639308186708,0.3014410027005225,0.030428582729364165,0.023670930879247622,0.019339571231906216,0.001609809305819142,0.019339571231906216,0.06038626270743769,0.0016234211967296765,0.0031612660146335173,0.0012081440437944223,0.0009024559021706957,7.454401667821852e-05,0.0009024559021706957,0.0032984627001483025,0.08156459999736398
38,0.76,0,50,5000,0.02,exact,0.0014468331905311258,0.0015184723601677486,0.0013657757909456916,0.001423840462650816,0.00044855464734849804,0.001423840462650816,0.002049119630778834,0.20447314340707293,0.7153250715476475,0.15791301525202397,0.13121294227125174,0.012124682347416364,0.13121294227125174,0.3939286501948081,0.04087121005582089,0.03155497956773596,0.026249837675423195,0.002426782072272294,0.026249837675423195,0.078811099492054,0.0011299221353004566,0.002168823285653312,0.0009418505500433861,0.000829963650998855,0.00014447094273075666,0.000829963650998855,0.0020958122679584305,0.08156459999736398
49,0.98,0,50,5000,0.02,exact,0.0005956007962610831,0.0006224135477815887,0.0004434029195970435,0.0003348855729891076,3.158553727913294e-05,0.0003348855729891076,0.0012235823423096817,0.1471857001098958,0.5127056823026789,0.10983804926515363,0.0831271136727707,0.00821443754710012,0.0831271136727707,0.3016833842860558,0.029401408919755047,0.021941013012846868,0.016604988228719558,0.0016415392480048294,0.016604988228719558,0.06026326191667259,0.000266931947243739,0.0005057154881279275,0.00022188625513889647,0.00021330695489268914,2.482803777719145e-05,0.00021330695489268914,0.000421062776912387,0.08156459999736398
