lambda,hold_fraction,near_barrier_hold,far_hold,buy_fraction,sell_fraction
0.0005,0.15686274509803919,0.2256535947712418,0.10232843137254898,0.41018518518518515,0.4329520697167756
0.002,0.15533769063180825,0.2264705882352941,0.10018382352941171,0.4106753812636165,0.4339869281045752
0.01,0.14379084967320258,0.2207516339869281,0.09262663398692805,0.41808278867102394,0.4381263616557734
