sweep,rmse_min,rmse_max,rmse_range,hold_width_min,hold_width_max,hold_width_range,hold_fraction_min,hold_fraction_max,max_cash_outside_grid,max_s_outside_grid
Nq,4.117405013097279,4.926050006317483,0.808644993220204,0.0,0.0074404761904761,0.0074404761904761,0.0801092398725534,0.1911431239162331,0.0,0.0
Ns,4.436399721140362,7.594847324065018,3.158447602924656,0.0065359477124183,0.1115257048092869,0.1049897570968686,0.2095992243051066,0.3377070690503526,0.0,0.0
cash,4.440880196532583,5.174720750030008,0.7338405534974246,0.0019841269841269,0.1200396825396825,0.1180555555555555,0.1501536098310291,0.2957171034094111,0.0,0.0
time,4.455854604116894,6.142466349481501,1.6866117453646077,0.0610795454545454,0.1143162393162393,0.0532366938616938,0.2077134986225895,0.2696719210560041,0.0,0.0
interpolation,3.197886999742362,5.538168030881432,2.3402810311390705,0.0,0.0550595238095238,0.0550595238095238,0.0917366946778711,0.2687519452225334,0.0,0.0
