gamma,Nx,Nt,relative_error_V_x0,pi_x0_num,pi_x0_exact,relative_error_pi_x0,control_RMSE_interior,control_max_abs_error_interior,fraction_final_Vxx_ge_0,fraction_denom_clipped
1.5,401,1600,4.531317440017956e-07,0.999996875000614,0.9999999999999998,3.124999385817341e-06,1.124097556838891e-05,3.58722364754982e-05,0.0,0.0
3.0,401,1600,1.3532365708567838e-05,0.4999500027499507,0.4999999999999999,9.99945000983438e-05,0.0001789264421048,0.0005511285588291,0.0,0.0
5.0,401,1600,8.246415555405231e-05,0.2998560431894818,0.2999999999999999,0.0004798560350603,0.0005151819298981,0.0015868613133851,0.0,0.0
