lambda,t,S,alive,barrier_price,barrier_delta,european_delta,bellman_position,knockout_probability_next_step
0.0,0.0,80.8,1,0.2773897489888178,0.3415014747879461,0.1932543756017301,0.1304035353663429,0.8879757002879226
0.0,0.0,84.0,1,1.428266040689622,0.3203573152683637,0.2508660405843025,0.3420798144423232,0.0574651763342238
0.0,0.0,100.0,1,8.832482837986595,0.5941685471218239,0.579259709439103,0.5984200501282885,0.0
0.0,0.0,120.0,1,23.744620394042368,0.8639312358050143,0.8668465878618943,0.870756763822547,0.0
0.0,0.0,150.0,1,52.061420461461545,0.97960113182633,0.9870372376141964,0.9798104158678138,0.0
0.0,0.5,80.8,1,0.1186876579980199,0.1456147180832843,0.0859565567450929,0.0571739882691579,0.8879757002879226
0.0,0.5,84.0,1,0.6306179005374853,0.1646633881390432,0.1375389412784963,0.1653285626533278,0.0574651763342238
0.0,0.5,100.0,1,6.110993381309192,0.5567384068458011,0.5562314580091424,0.566536531399963,0.0
0.0,0.5,120.0,1,21.614094328878032,0.9174585168467344,0.9237317784534832,0.9266873424464432,0.0
0.0,0.5,150.0,1,51.00305932947708,0.9986261787934948,0.9986872641547744,0.998693564314076,0.0
0.0,0.9583333333333331,80.8,1,0.0,0.0,1.101598375366804e-07,0.0,0.8879757002879226
0.0,0.9583333333333331,84.0,1,0.0,0.0,1.168750037845712e-05,0.0,0.0574651763342238
0.0,0.9583333333333331,100.0,1,1.53442514348722,0.513787524448162,0.5162822274302316,0.5471337490321867,0.0
0.0,0.9583333333333331,120.0,1,20.083298620754167,1.000000000000001,0.9999967089455634,1.0000000000000002,0.0
0.0,0.9583333333333331,150.0,1,50.08329862075416,1.0,1.0,1.0,0.0
0.0005,0.0,80.8,1,0.2809005939099728,0.3437606543467178,0.1932543756017301,0.0160194278594467,0.9803929514500064
0.0005,0.0,84.0,1,1.4552877830355522,0.3806792807319649,0.2508660405843025,0.0430332301703743,0.6212038289467053
0.0005,0.0,100.0,1,8.671585051062163,0.5803993669650065,0.579259709439103,0.4550065375446122,4.731851513262164e-05
0.0005,0.0,120.0,1,23.81001111025674,0.8626092937136265,0.8668465878618943,0.6202429752366747,5.218048215738236e-15
0.0005,0.0,150.0,1,52.07900197166904,0.9815355731726696,0.9870372376141964,0.9713257877753588,0.0
0.0005,0.5,80.8,1,0.1195938765241302,0.1539633049385135,0.0859565567450929,0.0165669987199105,0.9803929514500064
0.0005,0.5,84.0,1,0.6776000747862304,0.1773132150945298,0.1375389412784963,0.0524744519399721,0.6212038289467053
0.0005,0.5,100.0,1,5.849051290698209,0.5525836664714819,0.5562314580091424,0.09010067302799,4.731851513262164e-05
0.0005,0.5,120.0,1,21.68361375513885,0.9211322654869596,0.9237317784534832,0.6932970996532288,5.218048215738236e-15
0.0005,0.5,150.0,1,51.00335009665996,0.9991765239783604,0.9986872641547744,0.7944378762601443,0.0
0.0005,0.75,80.8,1,0.033541401378932,0.0461423748533002,0.0210802598681508,0.0168591119599783,0.9803929514500064
0.0005,0.75,84.0,1,0.1965461260273358,0.047101657578814,0.0501362616346618,0.0583145043995866,0.6212038289467053
0.0005,0.75,100.0,1,3.821301303084007,0.5345796265272045,0.539827837277029,0.0599855041523873,4.731851513262164e-05
0.0005,0.75,120.0,1,20.670219378995885,0.9754711805101156,0.97277350854025,0.689159431561894,5.218048215738236e-15
0.0005,0.75,150.0,1,50.49875208073177,1.0000000000000036,0.9999837107850342,0.7895873453750946,0.0
0.002,0.0,80.8,1,0.2809005939099728,0.3437606543467178,0.1932543756017301,0.0160194278594467,0.9803929514500064
0.002,0.0,84.0,1,1.4552877830355522,0.3806792807319649,0.2508660405843025,0.0430332301703743,0.6212038289467053
0.002,0.0,100.0,1,8.671585051062163,0.5803993669650065,0.579259709439103,0.4550065375446122,4.731851513262164e-05
