strategy,final_wealth,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,mean_monthly_return,worst_month,average_annual_turnover,mean_aapl_exposure,median_aapl_exposure,min_aapl_exposure,max_aapl_exposure,crra_monthly_utility_gamma_1.5,certainty_equivalent_monthly_return_gamma_1.5,certainty_equivalent_annual_return_gamma_1.5,crra_monthly_utility_gamma_3,certainty_equivalent_monthly_return_gamma_3,certainty_equivalent_annual_return_gamma_3,crra_monthly_utility_gamma_5,certainty_equivalent_monthly_return_gamma_5,certainty_equivalent_annual_return_gamma_5
merton_unconstrained_gamma_1.5,0.1026463497620183,-0.2504453568876172,1.8245597122345028,0.2430986772938844,-1.096751841319654,0.028867871451637,-0.9878777963107076,54.22320766316366,2.298575365563565,1.9656879893949275,-178.36847905325473,365.0045524106464,-2.162122911652156,-0.1443439342152774,-0.8459751476445865,-36.71204362083244,-0.883297348922978,-0.9999999999936178,-123164.90211005424,-0.962254667045936,-1.0
merton_long_only_gamma_1.5,5.420354653166323,0.2386603956178383,0.296541773034357,0.780242471863941,-0.3851592584690368,0.0204079248790637,-0.1811976704473036,1.0259271920847917,0.9003907610624561,1.0,0.0,1.0,-1.984253976357358,0.0159339479944915,0.2088869046520209,-0.4887625666737565,0.0114304720503224,0.1461261073226185,-0.2446801229846719,0.0053917788144477,0.0666549562479492
merton_unconstrained_gamma_3,2.594232713875809,0.1283069459124382,0.4277981528003399,0.4349162088619195,-0.7084138633952951,0.0155482863710573,-0.4929490307202201,3.736640539323081,1.113623262615031,0.9866295047970284,-0.0815614199482442,4.964465751939808,-1.9954984357985668,0.0045168080003272,0.0555686791081617,-0.509312193214754,-0.0091841042563116,-0.1048092526085231,-0.2906642169883133,-0.0369760019370939,-0.3637243315885168
merton_long_only_gamma_3,4.175722498276414,0.1984094124586555,0.2759229044925214,0.6975379128567559,-0.3851545335478727,0.0170740559247844,-0.1811976704473036,1.2799700773996292,0.7846873096252001,0.9866295047970284,0.0,1.0,-1.986759496165076,0.0133731573251205,0.1728237605659244,-0.4904901669413091,0.0096476749518372,0.1221171346888496,-0.2454234737233969,0.0046296175214144,0.0569920712173979
merton_unconstrained_gamma_5,2.2894912850467755,0.1105928873808603,0.2467341714735642,0.4409291663283218,-0.4847261474022586,0.0102204523388254,-0.2949775244840262,1.9399843293076813,0.6643143118849496,0.5967543142625353,-0.048894387859251,2.136843094556779,-1.9935812813034528,0.0064497514167687,0.0802024629885262,-0.4975596166432287,0.0024493530530993,0.0297914431134307,-0.2536199009081046,-0.0035874933224087,-0.0422105689096954
merton_long_only_gamma_5,2.453257154939295,0.1203517563755982,0.208035861786379,0.5225026471673867,-0.3650954840309114,0.0104529286967064,-0.1811976704473036,1.2555548351289163,0.5865258603532566,0.5967543142625353,0.0,1.0,-1.991955352492117,0.0080934463983153,0.1015633976554117,-0.494362567037376,0.0056855563055515,0.0704011175046999,-0.2476434375991053,0.0023705447763295,0.0288203695259148
benchmark_aapl_100,6.933305210619637,0.2778825356203898,0.3090811890167295,0.861772554206521,-0.3851592584690368,0.0234565907731391,-0.1811976704473036,0.125,1.0,1.0,1.0,1.0,-1.981843226857396,0.0184070516449412,0.2446773126710069,-0.4869542392394405,0.0133067290492361,0.1719015268101114,-0.2436388210003378,0.0064643118085656,0.0803900064511995
benchmark_50_50_monthly,3.1754037304514187,0.1575623418046312,0.1529591413599966,0.8591133040254437,-0.2069185859472861,0.0128426460318084,-0.0896089677885192,0.2689922949796192,0.5023749820091287,0.5029786104919673,0.4367520269683844,0.5488308250081131,-1.9885210337188144,0.0115785530173,0.1481413465158696,-0.4898473925758771,0.0103098841394697,0.1309807733436401,-0.2415687612088655,0.0086135751291649,0.1084030429771241
benchmark_cash_100,1.2340854367842435,0.0269926497081471,0.0012636487622281,2.086087832322055e-15,0.0,0.0022287012904776,1.428581632745285e-05,0.0,0.0,0.0,0.0,0.0,-1.9977771191800693,0.0022265922187736,0.0270487564243757,-0.4977829171669731,0.0022244833685249,0.0270228237623209,-0.2477906130198081,0.0022216719290764,0.0269882522508768
