lambda,frequency,strategy,band,rmse,mae,pnl_mean,mean_total_cost,mean_turnover,mean_n_rebalances
0.0,12,delta_bs,0.0,1.9452273531016608,1.4746504329732193,-0.0328204575483592,0.0,1.5873267392197816,11.9974
0.0,12,no_trade_band,0.0,1.9452273531016608,1.4746504329732193,-0.0328204575483592,0.0,1.5873267392197816,11.9974
0.0,12,no_trade_band,0.02,1.9504473587556392,1.48116740610976,-0.036339087601462,0.0,1.5710755536000185,9.67215
0.0,12,no_trade_band,0.05,1.9839193565728677,1.5149447136819236,-0.0453923362184972,0.0,1.5123940916542464,7.6769
0.0,12,no_trade_band,0.1,2.1426406998199097,1.6550256268117185,-0.0718606095362164,0.0,1.3778165415839838,5.3412
0.0,12,no_trade_band,0.2,2.891987434078083,2.257708378997681,-0.1890731761687952,0.0,1.1315595965018928,2.97025
0.0,12,optimized_no_trade_band,0.0,1.9452273531016608,1.4746504329732193,-0.0328204575483592,0.0,1.5873267392197816,11.9974
0.0,26,delta_bs,0.0,1.3340969945107275,0.9991347456832064,-0.0127427932376567,0.0,2.111873383251719,25.9243
0.0,26,no_trade_band,0.0,1.3340969945107275,0.9991347456832064,-0.0127427932376567,0.0,2.111873383251719,25.9243
0.0,26,no_trade_band,0.02,1.341546667779075,1.0084071198948414,-0.0175719736977766,0.0,2.0640408793693448,18.44955
0.0,26,no_trade_band,0.05,1.4053112247285393,1.068639055871652,-0.0301808982992944,0.0,1.90786057259445,12.85505
0.0,26,no_trade_band,0.1,1.6510344322980766,1.277187219590868,-0.0502287756102012,0.0,1.623121440913453,7.5131
0.0,26,no_trade_band,0.2,2.613958744008398,2.017454024168407,-0.1756855763689825,0.0,1.2467422972333546,3.5684
0.0,26,optimized_no_trade_band,0.0,1.3340969945107275,0.9991347456832064,-0.0127427932376567,0.0,2.111873383251719,25.9243
0.0,52,delta_bs,0.0,0.9526999238362962,0.7111545649284753,-0.0037617896030933,0.0,2.7730707078020096,51.6167
0.0,52,no_trade_band,0.0,0.9526999238362962,0.7111545649284753,-0.0037617896030933,0.0,2.7730707078020096,51.6167
0.0,52,no_trade_band,0.02,0.965099187455527,0.7254111581389657,-0.0107540207968434,0.0,2.6521977105671284,32.25745
0.0,52,no_trade_band,0.05,1.0643479401685132,0.8145474053681361,-0.0250571988853951,0.0,2.311075081388794,19.2565
0.0,52,no_trade_band,0.1,1.389621859678351,1.0875866423904006,-0.0449948930479782,0.0,1.8334194590987845,9.61135
0.0,52,no_trade_band,0.2,2.454562004694384,1.8860608943039416,-0.170431710288403,0.0,1.3351500773888725,4.06595
0.0,52,optimized_no_trade_band,0.0,0.9526999238362962,0.7111545649284753,-0.0037617896030933,0.0,2.7730707078020096,51.6167
0.0,126,delta_bs,0.0,0.6164344454058871,0.4615493123414931,0.0019322765395574,0.0,4.018923561458372,124.29495
0.0,126,no_trade_band,0.0,0.6164344454058871,0.4615493123414931,0.0019322765395574,0.0,4.018923561458372,124.29495
0.0,126,no_trade_band,0.02,0.6426032026403765,0.4881071608152572,-0.0055773825655815,0.0,3.6454826860172,62.56135
0.0,126,no_trade_band,0.05,0.799412082289189,0.6242245903663342,-0.0204160004675401,0.0,2.852378552841386,29.34315
0.0,126,no_trade_band,0.1,1.2300168336740849,0.9586362999719938,-0.0658543462408627,0.0,2.0824729064787437,12.36225
0.0,126,no_trade_band,0.2,2.2972757740787766,1.7733027598074136,-0.1505248837902269,0.0,1.4339304195468046,4.65625
0.0,126,optimized_no_trade_band,0.0,0.6164344454058871,0.4615493123414931,0.0019322765395574,0.0,4.018923561458372,124.29495
0.0,252,delta_bs,0.0,0.4355211980760002,0.3256079218722901,-0.000264882963305,0.0,5.456529227687245,247.7692
0.0,252,no_trade_band,0.0,0.4355211980760002,0.3256079218722901,-0.000264882963305,0.0,5.456529227687245,247.7692
0.0,252,no_trade_band,0.02,0.4743916896637015,0.3639625672335452,-0.0055838148545298,0.0,4.594253761321508,98.56275
0.0,252,no_trade_band,0.05,0.6705590471402545,0.5255876532586675,-0.0215195348641988,0.0,3.2579631144011088,37.92765
0.0,252,no_trade_band,0.1,1.1629504169823943,0.8988148172909066,-0.069006352193878,0.0,2.247292262144998,14.38395
0.0,252,no_trade_band,0.2,2.1804398398546856,1.6982942142234,-0.1281372864705781,0.0,1.4963199312614033,5.0601
0.0,252,optimized_no_trade_band,0.0,0.4355211980760002,0.3256079218722901,-0.000264882963305,0.0,5.456529227687245,247.7692
0.0005,12,delta_bs,0.0,1.9532953589667672,1.4791814858833414,-0.113944310777853,0.0800268652388118,1.5873267392197816,11.9974
0.0005,12,no_trade_band,0.0,1.9532953589667672,1.4791814858833414,-0.113944310777853,0.0800268652388118,1.5873267392197816,11.9974
0.0005,12,no_trade_band,0.02,1.958574813441032,1.4856372368306685,-0.116597309931183,0.0791694433813465,1.5710755536000185,9.67215
0.0005,12,no_trade_band,0.05,1.9923353317965784,1.5193310922939434,-0.1226004940176851,0.0761520751526779,1.5123940916542464,7.6769
0.0005,12,no_trade_band,0.1,2.1516049584568884,1.660220473781976,-0.1421690029594342,0.0693306325798877,1.3778165415839838,5.3412
0.0005,12,no_trade_band,0.2,2.901439328879351,2.2634456737076376,-0.2467004790931272,0.0567910701608963,1.1315595965018928,2.97025
0.0005,12,optimized_no_trade_band,0.0,1.9532953589667672,1.4791814858833414,-0.113944310777853,0.0800268652388118,1.5873267392197816,11.9974
0.0005,26,delta_bs,0.0,1.34443259134533,1.0064499725792944,-0.1204336076336019,0.1063280456568171,2.111873383251719,25.9243
0.0005,26,no_trade_band,0.0,1.34443259134533,1.0064499725792944,-0.1204336076336019,0.1063280456568171,2.111873383251719,25.9243
0.0005,26,no_trade_band,0.02,1.3519679319393128,1.0156817928542017,-0.1227377032567636,0.1038285622191183,2.0640408793693448,18.44955
0.0005,26,no_trade_band,0.05,1.415838943494121,1.07581219746674,-0.1272942780838243,0.0958668940856701,1.90786057259445,12.85505
0.0005,26,no_trade_band,0.1,1.6605320703366724,1.2836866517143195,-0.1328225628717011,0.0815125973270472,1.623121440913453,7.5131
0.0005,26,no_trade_band,0.2,2.6229154321831403,2.0227757299702,-0.2390914312968056,0.0625310238116115,1.2467422972333546,3.5684
0.0005,26,optimized_no_trade_band,0.0,1.34443259134533,1.0064499725792944,-0.1204336076336019,0.1063280456568171,2.111873383251719,25.9243
0.0005,52,delta_bs,0.0,0.96883419780626,0.7223386301501239,-0.1450047528458612,0.1395440660273385,2.7730707078020096,51.6167
0.0005,52,no_trade_band,0.0,0.96883419780626,0.7223386301501239,-0.1450047528458612,0.1395440660273385,2.7730707078020096,51.6167
0.0005,52,no_trade_band,0.02,0.981041895406674,0.7362199512318774,-0.1456640941606796,0.1332785118778811,2.6521977105671284,32.25745
0.0005,52,no_trade_band,0.05,1.0782338413703405,0.8245302244704404,-0.1424494202997168,0.1159618654679342,2.311075081388794,19.2565
0.0005,52,no_trade_band,0.1,1.3996746770186923,1.0943734709355395,-0.1381241479678501,0.0919680408826882,1.8334194590987845,9.61135
0.0005,52,no_trade_band,0.2,2.462670181326174,1.890048331824112,-0.2383544042066796,0.0670207516296258,1.3351500773888725,4.06595
0.0005,52,optimized_no_trade_band,0.0,0.96883419780626,0.7223386301501239,-0.1450047528458612,0.1395440660273385,2.7730707078020096,51.6167
0.0005,126,delta_bs,0.0,0.6561449837006422,0.4910965838061366,-0.2026007648001407,0.2022007013405864,4.018923561458372,124.29495
0.0005,126,no_trade_band,0.0,0.6561449837006422,0.4910965838061366,-0.2026007648001407,0.2022007013405864,4.018923561458372,124.29495
0.0005,126,no_trade_band,0.02,0.6773523986771292,0.5134322366489686,-0.190683679102408,0.1829902892737009,3.6454826860172,62.56135
0.0005,126,no_trade_band,0.05,0.820732957622651,0.6395742213869389,-0.1650445298185038,0.1429743121823285,2.852378552841386,29.34315
0.0005,126,no_trade_band,0.1,1.242024196291334,0.9662185876779076,-0.1714431415492656,0.1043429075668675,2.0824729064787437,12.36225
0.0005,126,no_trade_band,0.2,2.304207650028963,1.7765187253630648,-0.2235607896524923,0.072106425859246,1.4339304195468046,4.65625
0.0005,126,optimized_no_trade_band,0.0,0.6561449837006422,0.4910965838061366,-0.2026007648001407,0.2022007013405864,4.018923561458372,124.29495
0.0005,252,delta_bs,0.0,0.5284632557834543,0.4007712101864272,-0.2778453875601149,0.2745169975679936,5.456529227687245,247.7692
0.0005,252,no_trade_band,0.0,0.5284632557834543,0.4007712101864272,-0.2778453875601149,0.2745169975679936,5.456529227687245,247.7692
0.0005,252,no_trade_band,0.02,0.5414962052047423,0.4149694309615679,-0.2385596969379561,0.2304182528928881,4.594253761321508,98.56275
0.0005,252,no_trade_band,0.05,0.7003333765504776,0.5471165110598675,-0.1865106810141008,0.1631863446843444,3.2579631144011088,37.92765
0.0005,252,no_trade_band,0.1,1.17525801601125,0.9067801220656082,-0.1828341932153115,0.1125318981646872,2.247292262144998,14.38395
0.0005,252,no_trade_band,0.2,2.18631844758964,1.7000815752969003,-0.2044373647000664,0.0753546347612514,1.4963199312614033,5.0601
0.0005,252,optimized_no_trade_band,0.02,0.5414962052047423,0.4149694309615679,-0.2385596969379561,0.2304182528928881,4.594253761321508,98.56275
0.002,12,delta_bs,0.0,1.9980893497097223,1.5104184936380969,-0.357315870466334,0.3201074609552473,1.5873267392197816,11.9974
0.002,12,no_trade_band,0.0,1.9980893497097223,1.5104184936380969,-0.357315870466334,0.3201074609552473,1.5873267392197816,11.9974
0.002,12,no_trade_band,0.02,2.003100703253749,1.5162121582102597,-0.357371976920345,0.316677773525386,1.5710755536000185,9.67215
0.002,12,no_trade_band,0.05,2.035996079845696,1.548232635785041,-0.3542249674152462,0.3046083006107117,1.5123940916542464,7.6769
0.002,12,no_trade_band,0.1,2.192706350362676,1.6880834293288365,-0.3530941832290819,0.2773225303195508,1.3778165415839838,5.3412
0.002,12,no_trade_band,0.2,2.9369130459564845,2.2868634356732844,-0.4195823878661107,0.2271642806435853,1.1315595965018928,2.97025
0.002,12,optimized_no_trade_band,0.0,1.9980893497097223,1.5104184936380969,-0.357315870466334,0.3201074609552473,1.5873267392197816,11.9974
0.002,26,delta_bs,0.0,1.428004462702025,1.0730599156277971,-0.4435060508214226,0.4253121826272686,2.111873383251719,25.9243
0.002,26,no_trade_band,0.0,1.428004462702025,1.0730599156277971,-0.4435060508214226,0.4253121826272686,2.111873383251719,25.9243
0.002,26,no_trade_band,0.02,1.4333864803017464,1.079729326345646,-0.4382348919337134,0.4153142488764734,2.0640408793693448,18.44955
0.002,26,no_trade_band,0.05,1.4888116297704732,1.1315733255742306,-0.4186344174374107,0.3834675763426807,1.90786057259445,12.85505
0.002,26,no_trade_band,0.1,1.7150429740772972,1.3246668007246387,-0.3806039246562155,0.326050389308189,1.623121440913453,7.5131
0.002,26,no_trade_band,0.2,2.6596013240387104,2.047612306017516,-0.4293089960803036,0.2501240952464462,1.2467422972333546,3.5684
0.002,26,optimized_no_trade_band,0.0,1.428004462702025,1.0730599156277971,-0.4435060508214226,0.4253121826272686,2.111873383251719,25.9243
0.002,52,delta_bs,0.0,1.1365800798919077,0.8589765448840976,-0.5687336425741641,0.5581762641093541,2.7730707078020096,51.6167
0.002,52,no_trade_band,0.0,1.1365800798919077,0.8589765448840976,-0.5687336425741641,0.5581762641093541,2.7730707078020096,51.6167
0.002,52,no_trade_band,0.02,1.1381800139724343,0.862391131385731,-0.5503943142521823,0.5331140475115244,2.6521977105671284,32.25745
0.002,52,no_trade_band,0.05,1.1985546050088274,0.9190323189546474,-0.4946260845426668,0.463847461871737,2.311075081388794,19.2565
0.002,52,no_trade_band,0.1,1.469871713881938,1.1471074281112732,-0.4175119127274402,0.3678721635307529,1.8334194590987845,9.61135
0.002,52,no_trade_band,0.2,2.499276276912586,1.9135860692623217,-0.442122485961458,0.2680830065185032,1.3351500773888725,4.06595
0.002,52,optimized_no_trade_band,0.02,1.1381800139724343,0.862391131385731,-0.5503943142521823,0.5331140475115244,2.6521977105671284,32.25745
0.002,126,delta_bs,0.0,1.0666464678237442,0.8590150970194275,-0.8161998888192278,0.8088028053623458,4.018923561458372,124.29495
0.002,126,no_trade_band,0.0,1.0666464678237442,0.8590150970194275,-0.8161998888192278,0.8088028053623458,4.018923561458372,124.29495
0.002,126,no_trade_band,0.02,1.0304490406958642,0.8147450948047981,-0.7460025687128811,0.7319611570948037,3.6454826860172,62.56135
0.002,126,no_trade_band,0.05,1.0339264689762782,0.806813677788894,-0.5989301178713877,0.5718972487293142,2.852378552841386,29.34315
0.002,126,no_trade_band,0.1,1.3372826082847715,1.0384020774580005,-0.4882095274744741,0.4173716302674701,2.0824729064787437,12.36225
0.002,126,no_trade_band,0.2,2.3405831625090743,1.800151050862884,-0.4426685072393245,0.2884257034369841,1.4339304195468046,4.65625
