lambda,best_delta_frequency,best_delta_J,best_delta_rmse,best_delta_cost,best_optimized_frequency,best_optimized_band,best_optimized_J,best_optimized_rmse,best_optimized_cost,optimized_improves_J,optimized_trades_less
0.0,252,0.1896787139735546,0.4355211980760002,0.0,252,0.0,0.1896787139735546,0.4355211980760002,0.0,False,False
0.0005,252,0.5537904102812423,0.5284632557834543,0.2745169975679936,252,0.02,0.5236363931440244,0.5414962052047423,0.2304182528928881,True,True
0.002,52,1.849990542116449,1.1365800798919077,0.5581762641093541,126,0.05,1.640901191979069,1.0339264689762782,0.5718972487293142,True,True
0.01,12,8.630394804037726,2.651387843990669,1.6005373047762366,26,0.1,7.8241076111191,2.4887458015189408,1.630251946540945,True,True
