frequency,strategy,rmse,rmse_barrier_delta,rmse_near_barrier
6,bellman_lambda0,2.479034932858616,2.675714665690607,2.5037724717267924
12,bellman_lambda0,1.791438365179246,1.9262181438513613,1.865323648811962
24,bellman_lambda0,1.3055677764475824,1.3740968619171448,1.3148216905798715
