lambda,strategy,frequency,band,rmse,mae,pnl_mean,mean_total_cost,mean_turnover,mean_n_rebalances,buy_frequency,hold_frequency,sell_frequency
0.0005,bellman_dp_costs_adaptive,12,-1.0,3.341914362014333,2.658899578569073,-0.2209209679889788,0.0778329781725919,1.5460625,4.682333333333333,0.1818181818181818,0.6727272727272727,0.1454545454545454
0.0005,delta_bs_same_frequency,12,0.0,1.9377377677629108,1.4732834567252842,-0.150716270382772,0.0799030461389946,1.5823946905252415,11.996333333333334,-1.0,-1.0,-1.0
0.0005,best_no_trade_exp3,252,0.02,0.538509955278588,0.4104491945104094,-0.2264909173802912,0.2274682019682719,4.532195633787686,97.32366666666668,-1.0,-1.0,-1.0
0.002,bellman_dp_costs_adaptive,12,-1.0,3.3311567747713484,2.6641444777653955,-0.4153660455954009,0.3066704310405785,1.5224583333333332,4.599666666666667,0.2,0.6545454545454545,0.1454545454545454
0.002,delta_bs_same_frequency,12,0.0,1.9872282594339168,1.50974872685102,-0.3937171973753446,0.3196121845559787,1.5823946905252415,11.996333333333334,-1.0,-1.0,-1.0
0.002,best_no_trade_exp3,126,0.05,1.0324698928178966,0.799261213538742,-0.585648482795282,0.5645038496584784,2.813106770995302,28.928,-1.0,-1.0,-1.0
0.01,bellman_dp_costs_adaptive,12,-1.0,3.649685067740351,2.8612730936574007,-1.5034790863881784,1.312189036561202,1.2996666666666667,3.5033333333333334,0.0909090909090909,0.8,0.109090909090909
0.01,delta_bs_same_frequency,12,0.0,2.659977182080555,2.095006313389682,-1.6897221413357386,1.598060922779894,1.5823946905252415,11.996333333333334,-1.0,-1.0,-1.0
0.01,best_no_trade_exp3,26,0.1,2.493747545028076,2.012142053802315,-1.725973413577801,1.6207213814603172,1.612085268927222,7.450666666666667,-1.0,-1.0,-1.0
