gamma,y,x,V_num_t0,V_exact_t0,Vx_num_t0,Vxx_num_t0,pi_num_t0,pi_exact_t0
1.5,-3.0,0.049787068367863944,-8.742071545859515,-8.742071545859515,87.46686626440092,-2194.43330035495,0.059787781827490345,0.04978706836786393
1.5,-2.985,0.050539503549134696,-8.676750763100086,-8.676751266501682,85.84270687132995,-2333.9592022836177,0.055169799104032385,0.05053950354913468
1.5,-2.97,0.05130331033191911,-8.611918112201787,-8.611919056690413,83.93274037261936,-2454.1130038384586,0.05130126867100709,0.051303310331919094
1.5,-2.955,0.05207866057596569,-8.547569940309739,-8.547571269596805,82.06527622491198,-2363.7781999286817,0.052076761830311305,0.05207866057596568
1.5,-2.94,0.05286572873835037,-8.483702622234084,-8.483704285640869,80.23936811977153,-2276.769205147036,0.05286396702290444,0.052865728738350354
1.5,-2.925,0.053664691912730135,-8.420312560235043,-8.42031451228792,78.45409083938024,-2192.96353871819,0.053663061050187894,0.05366469191273012
1.5,-2.91,0.05447572986918986,-8.357396183808422,-8.357398383846492,76.70853978735508,-2112.243230434302,0.05447422343371617,0.054475729869189846
1.5,-2.895,0.05529902509469138,-8.294949949471563,-8.29495236126777,75.00183052992651,-2034.4946546886524,0.05529763646005082,0.05529902509469137
1.5,-2.88,0.056134762834133725,-8.232970340549755,-8.232972931946518,73.33309834720633,-1959.6083706501518,0.05613348522506779,0.05613476283413371
1.5,-2.865,0.056983131132034036,-8.171453866963184,-8.171456609523498,71.70149779429637,-1887.4789683307708,0.0569819576779499,0.05698313113203402
1.5,-2.85,0.057844320874838456,-8.110397065014485,-8.11039993368935,70.1062022720075,-1818.004920327981,0.05784324466461825,0.05784432087483844
1.5,-2.835,0.058718525833872284,-8.049796497177033,-8.049799469989958,68.5464036069526,-1751.0884390356268,0.058717539970199614,0.05871852583387227
1.5,-2.82,0.05960594270893937,-7.989648751884068,-7.989651809633264,67.02131164078581,-1686.6353390963202,0.05960504036103178,0.059605942708939354
