gamma,y,x,V_num_t0,V_exact_t0,Vx_num_t0,Vxx_num_t0,pi_num_t0,pi_exact_t0
5.0,-3.0,0.049787068367863944,-36232.27730789277,-36232.27730789277,2826893.831981392,-167418916.06595868,0.025327727879336546,0.01493612051035918
5.0,-2.985,0.050539503549134696,-34121.1359606695,-34122.27373956278,2703410.959641464,-211341003.75900126,0.0191875517165915,0.015161851064740405
5.0,-2.97,0.05130331033191911,-32133.405874205655,-32135.147213173448,2507579.895389593,-245039394.98519716,0.015350061745425112,0.015390993099575728
5.0,-2.955,0.05207866057596569,-30261.721474011858,-30263.74192687545,2326095.4167878847,-223744301.0607656,0.015594332944525934,0.015623598172789703
5.0,-2.94,0.05286572873835037,-28499.207863859454,-28501.318800277906,2157848.9411593108,-204360913.56720084,0.0158385150821642,0.015859718621505106
5.0,-2.925,0.053664691912730135,-26839.43377056189,-26841.531206479685,2001835.3109235158,-186697363.2102142,0.016083531736890606,0.016099407573819037
5.0,-2.91,0.05447572986918986,-25276.371607237383,-25278.402117357433,1857139.0582086283,-170586393.10307252,0.01633019220723981,0.016342718960756956
5.0,-2.895,0.05529902509469138,-23804.363600627017,-23806.3025798082,1722922.8452663412,-155881412.47213665,0.01657916891381429,0.01658970752840741
5.0,-2.88,0.056134762834133725,-22418.092997539345,-22419.931445438553,1598417.8486698503,-142453098.708556,0.016830990654054256,0.016840428850240115
5.0,-2.865,0.056983131132034036,-21112.559395279146,-21114.29628070429,1482915.8706443568,-130186522.1907551,0.017086052907283926,0.017094939339610208
5.0,-2.85,0.057844320874838456,-19883.05731209827,-19884.69538875711,1375762.9194524672,-118978794.34124976,0.017344640199158903,0.017353296262451533
5.0,-2.835,0.058718525833872284,-18725.157242463734,-18726.700878257685,1276353.970439123,-108737208.46323337,0.01760695333930733,0.01761555775016168
5.0,-2.82,0.05960594270893937,-17634.6886045064,-17636.14271818408,1184128.627146038,-99377803.68027931,0.017873135397854713,0.017881782812681806
5.0,-2.805,0.06050677117258039,-16607.724149173264,-16609.0937212159,1098567.4433169519,-90824261.00384954,0.018143292846672147,0.018152031351774112
5.0,-2.79,0.06142121391500013,-15640.565537193617,-15641.855401617959,1019188.7235676044,-83007041.59737226,0.018417510803081103,0.018426364174500033
5.0,-2.775,0.06234947668967343,-14729.729890873195,-14730.94465669699,945545.6759282443,-75862693.04675089,0.018695862972045004,0.018704843006902026
5.0,-2.76,0.06329176835964073,-13871.937194784316,-13873.081223869618,877223.8337393202,-69333269.97969033,0.01897841759078182,0.018987530507892217
5.0,-2.745,0.06424830094450308,-13064.09846033563,-13065.175868173987,813838.6951277722,-63365833.86047654,0.0192652407191486,0.01927449028335092
5.0,-2.73,0.06521928966812753,-12303.304592638779,-12304.319257687048,755033.5474806793,-57912010.41897444,0.019556397939346052,0.019565786900438253
5.0,-2.715,0.06620495300707324,-11586.815911066727,-11587.771486787322,700477.4553774298,-52927591.93852696,0.01985195518221393,0.01986148590212197
5.0,-2.7,0.06720551273974976,-10912.052282165458,-10912.952209535133,649863.3964711053,-48372176.71777299,0.020151979109687176,0.020161653821924922
