gamma,y,x,V_num_t0,V_exact_t0,Vx_num_t0,Vxx_num_t0,pi_num_t0,pi_exact_t0
3.0,-3.0,0.049787068367863944,-188.07725691236962,-188.07725691236962,7443.883024046397,-296942.20426207746,0.0376026862325531,0.024893534183931965
3.0,-2.985,0.050539503549134696,-182.51812021676088,-182.51873393266436,7224.597237165756,-355427.4792942975,0.030489752444761237,0.02526975177456734
3.0,-2.97,0.05130331033191911,-177.1234301811053,-177.12449013388277,6906.523376514763,-404108.8067716836,0.025636127921917055,0.025651655165959547
3.0,-2.955,0.05207866057596569,-171.88829485376107,-171.88967033248332,6602.485325452746,-380529.45882332267,0.02602617946795376,0.02603933028798284
3.0,-2.94,0.05286572873835037,-166.80797241444378,-166.8095628372839,6311.857749348329,-358332.9593011261,0.02642175769286746,0.026432864369175177
3.0,-2.925,0.053664691912730135,-161.87786606539788,-161.87959520862134,6034.043970485215,-337437.1376609892,0.026822969215739068,0.02683234595636506
3.0,-2.91,0.05447572986918986,-157.09351909452502,-157.09533014284713,5768.474618456132,-317764.7878568594,0.02722992684633737,0.027237864934594923
3.0,-2.895,0.05529902509469138,-152.45061011322898,-152.4524614784543,5514.606333759261,-299243.3781532205,0.027642748694019396,0.027649512547345684
3.0,-2.88,0.056134762834133725,-147.94494847338802,-147.94681032024195,5271.920522114032,-281804.77648885676,0.028061556946263267,0.028067381417066856
3.0,-2.865,0.056983131132034036,-143.5724698675507,-143.5743212780272,5039.92215919834,-265384.98862670455,0.028486476488055544,0.02849156556601701
3.0,-2.85,0.057844320874838456,-139.32923211460266,-139.33105881652003,4818.138646830189,-249923.90758640243,0.02891763353110477,0.02892216043741922
3.0,-2.835,0.058718525833872284,-135.21141113034946,-135.2132037130763,4606.11872208505,-235365.07387935714,0.029355154395885697,0.029359262916936135
3.0,-2.82,0.05960594270893937,-131.21529707930358,-131.21704962013942,4403.431420598235,-221655.44675932475,0.029799164547800492,0.029802971354469677
3.0,-2.805,0.06050677117258039,-127.33729070098174,-127.33899972927738,4209.665094568558,-208745.18705018898,0.030249787940426282,0.030253385586290187
3.0,-2.79,0.06142121391500013,-123.57389980159576,-123.57556353381187,4024.4264849959986,-196587.45216122625,0.030707146672531258,0.030710606957500056
3.0,-2.775,0.06234947668967343,-119.92173590037774,-119.92335368712762,3847.339846672245,-185138.20372696134,0.031171360928397864,0.031174738344836708
3.0,-2.76,0.06329176835964073,-116.37751101897541,-116.37908295383099,3678.0461235701327,-174356.02801256228,0.0316425491463805,0.03164588417982036
3.0,-2.745,0.06424830094450308,-112.93803460230542,-112.93956125101667,3516.2021716402733,-164201.9688955401,0.03212082834899347,0.032124150472251534
3.0,-2.73,0.06521928966812753,-109.60021055981757,-109.60169277697727,3361.480025658266,-154639.37293379247,0.03260631456806399,0.032609644834063756
3.0,-2.715,0.06620495300707324,-106.36103441709443,-106.36247322477335,3213.566206658674,-145633.74580332692,0.033099123306886004,0.033102476503536614
3.0,-2.7,0.06720551273974976,-103.21759056890883,-103.21898707815414,3072.1610665890707,-137152.61925026897,0.033599369994347136,0.03360275636987487
3.0,-2.685,0.06822119399631812,-100.16704962611793,-100.16840498739586,2936.978167058917,-129165.42764593338,0.03410717040061668,0.034110596998159055
3.0,-2.67,0.069252225309346,-97.20666584997247,-97.20798122269639,2807.7436893788604,-121643.3932455866,0.034622640997570925,0.03462611265467299
3.0,-2.6550000000000002,0.07029883866522844,-94.3337746684851,-94.33505120283303,2684.19587343505,-114559.4193106845,0.03514589925803733,0.035149419332614215
3.0,-2.64,0.07136126955638605,-91.54579027039794,-91.5470290968591,2566.0844832790076,-107887.99033948251,0.035677063895682655,0.03568063477819302
3.0,-2.625,0.07243975703425146,-88.84020327301307,-88.84140549668224,2453.170297615898,-101605.07874451258,0.03621625505233497,0.03621987851712572
3.0,-2.61,0.0735345437630571,-86.21457846070976,-86.21574515842713,2345.224623630523,-95688.05740772803,0.03676359444163691,0.03676727188152854
3.0,-2.595,0.07464587607443557,-83.6665525913963,-83.66768481055207,2242.0288327980384,-90115.61762637178,0.037319205458265454,0.03732293803721778
3.0,-2.58,0.07577400402284548,-81.1938322684591,-81.1949310267446,2143.3739174914913,-84867.69203158405,0.03788321326142262,0.037887002011422734
3.0,-2.565,0.0769191814418345,-78.79419187600239,-78.79525816168346,2049.0600673270797,-79925.3821188124,0.03845574483987576,0.038459590720917244
3.0,-2.55,0.07808166600115317,-76.46547157534059,-76.46650634780733,1958.896264286667,-75270.89007433453,0.0390369290641868,0.03904083300057658
3.0,-2.535,0.07926171926473155,-74.2055753608342,-74.20657955128834,1872.699895734465,-70887.45461710583,0.03962689673052311,0.03963085963236577
3.0,-2.52,0.08045960674953244,-72.01246917325663,-72.01344368545979,1790.2963845067538,-66759.29060330197,0.0402257805991022,0.04022980337476621
3.0,-2.505,0.08167559798529346,-69.88417906895847,-69.88512478000148,1711.5188353030944,-62871.53216306341,0.04083371542936405,0.04083779899264672
3.0,-2.49,0.08290996657517266,-67.8187894431624,-67.81970720423264,1636.2076966505795,-59210.17915678063,0.041450838013463526,0.041454983287586324
3.0,-2.475,0.08416299025731036,-65.81444130577825,-65.81533194291514,1564.2104377498674,-55762.046754121664,0.042077287208819536,0.04208149512865517
3.0,-2.46,0.08543495096732123,-63.86933060818061,-63.870194923014424,1495.3812395441967,-52514.71795182509,0.04271320397024695,0.04271747548366061
3.0,-2.4450000000000003,0.08672613490173112,-61.9817066194409,-61.98254538991198,1429.5806993839717,-49456.498857671446,0.04335873138224245,0.04336306745086555
3.0,-2.43,0.08803683258237255,-60.14987035055002,-60.15068433160775,1366.6755486879583,-46576.37657917129,0.04401401469148831,0.04401841629118627
3.0,-2.415,0.08936733892175319,-58.37217302521295,-58.372962949494955,1306.538383028438,-43863.9795650262,0.044679201339617114,0.04468366946087659
3.0,-2.4,0.09071795328941251,-56.647014595838534,-56.64778117432992,1249.04740409343,-41309.54025617304,0.04535444099647587,0.04535897664470625
3.0,-2.385,0.0920889795792812,-54.97284230338863,-54.97358622606172,1194.0861730034596,-38903.85991191971,0.04603988559388183,0.04604448978964059
3.0,-2.37,0.09348072627805847,-53.34814927978998,-53.348871216225426,1141.5433744830252,-36638.27548456486,0.04673568935977648,0.046740363139029226
3.0,-2.355,0.09489350653462311,-51.77147319165124,-51.77217379164052,1091.312591409033,-34504.62842304927,0.047442008852935376,0.04744675326731154
3.0,-2.34,0.09632763823049303,-50.24139492406427,-50.24207481819466,1043.2920892797933,-32495.235293331658,0.04815900299822818,0.0481638191152465
3.0,-2.325,0.09778344405135005,-48.75653730330484,-48.75719710352702,997.3846101678757,-30602.860109739056,0.04888683312236237,0.04889172202567501
3.0,-2.31,0.09926125155964566,-47.3155638572834,-47.31620415746204,953.4971757395683,-28820.688277594778,0.049625662990193956,0.049630625779822815
3.0,-2.295,0.10076139326830373,-45.91717761262991,-45.91779898907838,911.540898941992,-27142.302053320083,0.05037565884157332,0.05038069663415185
3.0,-2.2800000000000002,0.10228420671553744,-44.56011992733026,-44.56072293932935,871.4308039764339,-25561.657433645374,0.05113698942871081,0.051142103357768705
3.0,-2.265,0.10383003454079692,-43.24316935786351,-43.24375454816471,833.0856541932645,-24073.062390642004,0.051909826054190276,0.05191501727039845
3.0,-2.25,0.10539922456186433,-41.96514055982037,-41.965708455134425,796.4277875600361,-22671.156374265236,0.05269434260954286,0.05269961228093215
3.0,-2.235,0.10699212985311449,-40.724883221013016,-40.72543433248404,761.3829593693082,-21350.891008626226,0.05349071561428227,0.05349606492655723
3.0,-2.2199999999999998,0.10860910882495801,-39.52128102611666,-39.52181584978221,727.8801918676845,-20107.511912351412,0.05429912425568952,0.05430455441247899
3.0,-2.205,0.11025052530448522,-38.353250651910336,-38.35376966914781,695.8516305016924,-18936.54157767127,0.05511975042915399,0.055125262652242595
3.0,-2.19,0.11191674861732888,-37.21974079221282,-37.22024447017272,665.2324064890804,-17833.76324659162,0.05595277877900103,0.055958374308664426
3.0,-2.175,0.11360815367076377,-36.11973121163614,-36.120220003662666,635.9605054373354,-16795.205725980744,0.05679839674010889,0.05680407683538187
3.0,-2.16,0.11532512103806251,-35.05223182730496,-35.052706173343935,607.9766417433958,-15817.129086978333,0.057656794580116376,0.05766256051903124
3.0,-2.145,0.11706803704412637,-34.01628181771497,-34.01674214470984,581.2241385200373,-14896.011197237724,0.05852816544215049,0.05853401852206317
3.0,-2.13,0.11883729385240965,-33.010948757928816,-33.01139548020495,555.6488128057741,-14028.535037433876,0.059412705388311254,0.05941864692620481
3.0,-2.115,0.12063328955315826,-32.03532778033068,-32.035761299968335,531.1988658258725,-13211.576756401832,0.0603106134438276,0.060316644776579116
3.0,-2.1,0.1224564282529819,-31.088540760184348,-31.088961467380408,507.82477808212883,-12442.19442190614,0.06122209164181306,0.06122821412649094
3.0,-2.085,0.12430712016577938,-30.169735525261647,-30.170143798680986,485.47920905896547,-11717.617426509076,0.06214734506871502,0.06215356008288968
3.0,-2.0700000000000003,0.12618578170503872,-29.278085088829922,-29.278481295946197,464.11690134269935,-11035.236510394678,0.06308658191043609,0.06309289085251935
3.0,-2.055,0.12809283557753198,-28.412786905308167,-28.413171402734523,443.6945889598007,-10392.594365205063,0.0640400134992249,0.06404641778876598
3.0,-2.04,0.1300287108784259,-27.573062147921856,-27.573435281731914,424.1709097485396,-9787.376785075929,0.06500785436124121,0.06501435543921294
3.0,-2.025,0.13199384318783022,-26.7581550077062,-26.758517113745576,405.5063215864643,-9217.40433300981,0.06599032226473653,0.0659969215939151
3.0,-2.01,0.13398867466880499,-25.967332013227114,-25.96768341741571,387.6630223040632,-8680.624492536528,0.06698763826911934,0.06699433733440248
3.0,-1.995,0.13601365416684916,-25.199881370407443,-25.20022238903275,370.60487312249023,-8175.104276433668,0.0680000267747344,0.06800682708342456
3.0,-1.98,0.13806923731089282,-24.45511232186416,-24.45544326186594,354.29732546017624,-7699.023265897067,0.06902771557326132,0.0690346186554464
3.0,-1.965,0.14015588661581535,-23.73235452518016,-23.73267568442677,338.7073509601321,-7250.667055062566,0.07007093589898866,0.07007794330790766
3.0,-1.95,0.1422740715865136,-23.030957449550804,-23.031269117107232,323.8033745962434,-6828.421077285722,0.07112992248091286,0.07113703579325678
3.0,-1.935,0.14442426882354198,-22.35028979026233,-22.35059224665041,309.55521072306965,-6430.764790965864,0.0722049135954892,0.07221213441177098
3.0,-1.92,0.14660696213035015,-21.68973890047489,-21.690032417925806,295.9340019395706,-6056.266203954114,0.0732961511202289,0.07330348106517506
3.0,-1.905,0.14882264262214037,-21.048710239799192,-21.048995082498454,282.91216064302165,-5703.57671682864,0.07440388058819586,0.07441132131107017
3.0,-1.8900000000000001,0.15107180883637084,-20.42662683916986,-20.426903263495138,270.4633131546927,-5371.426266487008,0.0755283512431735,0.0755359044181854
3.0,-1.875,0.15335496684492847,-19.822928781534465,-19.823197036286295,258.56224630411975,-5058.618752541439,0.07666981609581229,0.07667748342246422
3.0,-1.86,0.1556726303679973,-19.237072697890294,-19.23733302451606,247.18485636384548,-4764.027730067417,0.07782853198054772,0.07783631518399864
3.0,-1.845,0.1580253208896478,-18.668531278215593,-18.668783911026825,236.30810023111067,-4486.592353188415,0.07900475961333238,0.07901266044482388
3.0,-1.83,0.16041356777517274,-18.116792796854956,-18.11703796323824,225.9099487577073,-4225.313554882916,0.08019876365032295,0.08020678388758636
3.0,-1.815,0.16283790839019696,-17.581360651931675,-17.581598572553307,215.96934213341189,-3979.250449261889,0.08141081274746302,0.08141895419509847
3.0,-1.8,0.16529888822158653,-17.061752918372598,-17.061983807377185,206.4661472326928,-3747.516943362995,0.0826411796209565,0.08264944411079325
3.0,-1.7850000000000001,0.16779706100018585,-16.55750191414291,-16.557725979346166,197.38111683824062,-3529.278546265168,0.08389014110849266,0.08389853050009291
3.0,-1.77,0.17033298882540943,-16.068153779300857,-16.06837122237658,188.6958506587636,-3323.7493640132325,0.08515797823166381,0.0851664944127047
3.0,-1.7550000000000001,0.17290724229171636,-15.593268067493094,-15.593479084154737,180.39275806213215,-3130.189269551264,0.08644497625921167,0.08645362114585817
3.0,-1.74,0.17552040061699686,-15.132417349523248,-15.132622129700044,172.45502244832457,-2947.9012374692743,0.08775142477112347,0.08776020030849842
3.0,-1.725,0.1781730517728984,-14.685186828636793,-14.685385556644722,164.86656719006893,-2776.2288339575734,0.08907761772381426,0.08908652588644919
3.0,-1.71,0.1808657926171221,-14.251173967175955,-14.251366821883638,157.61202307217272,-2614.5538529354194,0.09042385351628045,0.09043289630856104
3.0,-1.695,0.18359922902771786,-13.829988124268686,-13.830175279258379,150.67669716361624,-2462.294089840252,0.09179043505728741,0.09179961451385892
3.0,-1.6800000000000002,0.18637397603940994,-13.421250204225462,-13.421431827949286,144.046543059347,-2318.90124506531,0.09317766983342794,0.09318698801970496
3.0,-1.665,0.18919065798198204,-13.024592315327602,-13.02476857125917,137.7081324314996,-2183.858949487129,0.09458586997835171,0.09459532899099099
3.0,-1.6500000000000001,0.19204990862075408,-12.639657438699896,-12.639828485481452,131.64862783245243,-2056.680904977617,0.09601535234306446,0.09602495431037701
3.0,-1.635,0.1949523712991825,-12.266099106969492,-12.266265098554674,125.85575669460765,-1936.90913320793,0.09746643856712366,0.09747618564959122
3.0,-1.62,0.19789869908361465,-11.903581092421888,-11.903742178214339,120.31778647424369,-1824.1123264305395,0.09893945515105748,0.0989493495418073
3.0,-1.605,0.20088955491023208,-11.551777104373297,-11.55193342936109,115.02350088911031,-1717.8842943058849,0.10043473352981475,0.10044477745511601
3.0,-1.59,0.20392561173421342,-11.21037049548698,-11.210522200373175,109.96217720161778,-1617.8425011789393,0.10195261014729845,0.10196280586710668
3.0,-1.575,0.20700755268115265,-10.879053976769315,-10.879201198098537,105.12356450163092,-1523.6266885358534,0.10349342653217494,0.1035037763405763
3.0,-1.56,0.21013607120076472,-10.557529340988918,-10.557672211270308,100.49786294487775,-1434.897577685367,0.10505752937466534,0.10506803560038233
3.0,-1.5450000000000002,0.21331187122291517,-10.245507194270024,-10.245645842096476,96.0757039049111,-1351.3356479895901,0.10664527060450696,0.10665593561145756
3.0,-1.53,0.21653566731600707,-9.942706695618453,-9.942841245782363,91.84813099843943,-1272.639986244671,0.10825700747011713,0.1082678336580035
3.0,-1.5150000000000001,0.21980818484776168,-9.648855304145766,-9.648985877751382,87.80658194558487,-1198.5272030667795,0.10989310261908061,0.10990409242388081
3.0,-1.5,0.22313016014842982,-9.36368853376409,-9.36381524833646,83.9428712283501,-1128.7304123842005,0.11155392417978549,0.11156508007421488
3.0,-1.485,0.22650234067646874,-9.086949715130737,-9.087072684721534,80.24917351214307,-1062.9982703614198,0.11323984584404587,0.11325117033823434
3.0,-1.47,0.22992548518672384,-8.818389764628511,-8.81850909991866,76.71800779679518,-1001.094070287834,0.1149512469513538,0.1149627425933619
3.0,-1.455,0.23340036390115132,-8.557766960173623,-8.55788276857294,73.34222226498814,-942.7948901783067,0.1166885125742205,0.11670018195057563
3.0,-1.44,0.23692775868212176,-8.304846723649487,-8.30495910939335,70.11497979737297,-887.8907900143369,0.11845203360467473,0.11846387934106085
3.0,-1.425,0.24050846320834213,-8.059401409770604,-8.059510474013774,67.02974412506744,-836.1840557317477,0.12024220684238492,0.12025423160417104
3.0,-1.4100000000000001,0.24414328315343706,-7.8212101011864315,-7.821315942094087,64.08026659148125,-787.4884872368857,0.12205943508391597,0.1220716415767185
