gamma,Nx,Nt,dy,dt,lambda,x0,y0,nearest_y,V_x0_num,V_x0_exact,relative_error_V_x0,pi_x0_num,pi_x0_exact,relative_error_pi_x0,control_RMSE_interior,control_relative_RMSE_interior,control_max_abs_error_interior,fraction_final_Vxx_ge_0,n_final_Vxx_ge_0,runtime_seconds,n_concavity_violations,n_near_zero_denom,n_denom_clipped,n_denom_points,min_denom,max_denom,has_nan,has_inf,first_violation_time,fraction_concavity_violations,fraction_denom_clipped,n_final_grid_points,n_final_concavity_violations,fraction_final_concavity_violations,n_final_denom_clipped,fraction_final_denom_clipped,min_final_Vxx,max_final_Vxx,has_nan_pi_raw,has_inf_pi_raw,has_nan_pi,has_inf_pi,sweep
1.5,401,1600,0.015000000000000124,0.000625,2.777777777777732,1.0,0.0,0.0,-1.9506189401689025,-1.9506198240566652,4.5313174400179556e-07,0.999996875000614,0.9999999999999998,3.1249993858173406e-06,1.124097556838891e-05,3.1410554135479344e-06,3.58722364754982e-05,0.0,0,0.08840710000367835,0,0,0,638400,-6.672355330446386,-0.32890102347187633,False,False,,0.0,0.0,401,0,0.0,0,0.0,-2454.1130038384586,-0.0006773332235519789,False,False,False,False,profile
3.0,401,1600,0.015000000000000124,0.000625,2.777777777777732,1.0,0.0,0.0,-0.46619060120589645,-0.46619690995297414,1.3532365708567838e-05,0.4999500027499507,0.4999999999999999,9.999450009834379e-05,0.0001789264421048821,9.999450068744542e-05,0.0005511285588291059,0.0,0,0.0766925000352785,0,0,0,638400,-1174.6344683561615,-0.007146737451613634,False,False,,0.0,0.0,401,0,0.0,0,0.0,-404108.8067716836,-1.172037723612711e-05,False,False,False,False,profile
5.0,401,1600,0.015000000000000124,0.000625,2.777777777777732,1.0,0.0,0.0,-0.2226004477525354,-0.22261880582436816,8.246415555405231e-05,0.29985604318948184,0.29999999999999993,0.00047985603506032587,0.0005151819298981462,0.00047985603504001795,0.0015868613133851461,0.0,0,0.08734869997715577,0,0,0,638400,-766659.3878179132,-2.9075376761397334e-05,False,False,,0.0,0.0,401,0,0.0,0,0.0,-245039394.98519716,-4.2802182823966235e-08,False,False,False,False,profile
